extuserid,classcode,category
std_bA7G-V3CA_1705640083569_111,bA7G-V3CA,L7
std_DArW-c6h4_1703844984566_56,DArW-c6h4,M2
std_bA7G-V3CA_1705640111448_111,bA7G-V3CA,L7
std_Hjo7-Jv4F_1703845527461_72,Hjo7-Jv4F,H1
std_6LR3-Rb2t_1705574971341_14,6LR3-Rb2t,L8
std_hubP-e7ei_1703845263203_65,hubP-e7ei,M3
std_hubP-e7ei_1703845206383_65,hubP-e7ei,M3
std_Eywz-oWy2_1705638130246_13,Eywz-oWy2,L7
std_EPT7-ZE3w_1705638033406_8,EPT7-ZE3w,L7
std_74Kp-Va43_1705576186359_77,74Kp-Va43,L8
std_a4Ns-o9Dk_1705638194846_16,a4Ns-o9Dk,L7
std_86Xp-FMc3_1703848595568_12,86Xp-FMc3,L2
std_729X-6Xu7_1703848441406_5,729X-6Xu7,L1
std_Hjo7-Jv4F_1703845485390_72,Hjo7-Jv4F,H1
std_39GZ-c37g_1705991525225_25,39GZ-c37g,H5
std_Ex7r-sAf4_1705638465273_30,Ex7r-sAf4,L7
std_6Tcg-K47f_1705574872030_9,6Tcg-K47f,L8
std_hubP-e7ei_1703845270202_65,hubP-e7ei,M3
std_aX8a-9iok_1705640085027_109,aX8a-9iok,L7
std_6vEP-zXM3_1705498346557_88,6vEP-zXM3,L9
std_64pu-6Htf_1705499012407_119,64pu-6Htf,L9
std_qbEM-7zKm_1703845749198_83,qbEM-7zKm,H3
std_hubP-e7ei_1703845370303_65,hubP-e7ei,M3
std_Fshn-zCMu_1703848830430_19,Fshn-zCMu,L2
std_hmJx-9dJX_1703844238919_28,hmJx-9dJX,L3
std_aX8a-9iok_1705640056224_109,aX8a-9iok,L7
std_4QYr-LV64_1705496887163_10,4QYr-LV64,L9
std_qbEM-7zKm_1703845815863_83,qbEM-7zKm,H3
std_Qp9D-6nRL_1703845382888_73,Qp9D-6nRL,H1
std_4nfp-doMr_1703848715738_13,4nfp-doMr,L2
std_f2p7-LQNh_1703845677277_80,f2p7-LQNh,H2
std_aLx3-k36Y_1705639202095_67,aLx3-k36Y,L7
std_74Kp-Va43_1705576204559_77,74Kp-Va43,L8
std_28n9-2cX4_1704980293894_1,28n9-2cX4,M5
std_729X-6Xu7_1703848443726_5,729X-6Xu7,L1
std_hubP-e7ei_1703845307173_65,hubP-e7ei,M3
std_BEUJ-U9he_1705639425287_77,BEUJ-U9he,L7
std_4QYr-LV64_1705496827366_10,4QYr-LV64,L9
std_vwfC-ubfy_1703844970110_57,vwfC-ubfy,M2
std_qbEM-7zKm_1703845754350_83,qbEM-7zKm,H3
std_7tKy-gLb4_1703848539629_7,7tKy-gLb4,L1
std_a4HQ-nUwH_1705639067269_59,a4HQ-nUwH,L7
std_jcvT-KnPQ_1703844069522_22,jcvT-KnPQ,L3
std_a4Ns-o9Dk_1705638212596_16,a4Ns-o9Dk,L7
std_2toj-hp4u_1703848855755_18,2toj-hp4u,L2
std_4QYr-LV64_1705496879907_10,4QYr-LV64,L9
std_hmJx-9dJX_1703844210483_28,hmJx-9dJX,L3
std_2XL4-nYa7_1703848690562_14,2XL4-nYa7,L2
std_6cXQ-fZ24_1703848417690_2,6cXQ-fZ24,L1
std_Hjo7-Jv4F_1703845482886_72,Hjo7-Jv4F,H1
std_8TgC-9FNn_1705640148085_113,8TgC-9FNn,L7
std_8Abi-9J6s_1703848471416_4,8Abi-9J6s,L1
std_qbEM-7zKm_1703845691695_83,qbEM-7zKm,H3
std_AvC2-X834_1705638119642_11,AvC2-X834,L7
std_86Xp-FMc3_1703848591758_12,86Xp-FMc3,L2
std_hubP-e7ei_1703845229483_65,hubP-e7ei,M3
std_7tKy-gLb4_1703848559926_7,7tKy-gLb4,L1
std_7tKy-gLb4_1703848524503_7,7tKy-gLb4,L1
std_hubP-e7ei_1703845376769_65,hubP-e7ei,M3
std_6vEP-zXM3_1705498354843_88,6vEP-zXM3,L9
std_729X-6Xu7_1703848455171_5,729X-6Xu7,L1
std_crZd-f93s_1703848560379_9,crZd-f93s,L1
std_64pu-6Htf_1705499030130_119,64pu-6Htf,L9
std_8TgC-9FNn_1705640139123_113,8TgC-9FNn,L7
std_8Abi-9J6s_1703848393993_4,8Abi-9J6s,L1
std_cNUW-ZHk3_1705640165066_115,cNUW-ZHk3,L7
std_Hjo7-Jv4F_1703845481331_72,Hjo7-Jv4F,H1
std_6Y4r-j2Wo_1705576266428_80,6Y4r-j2Wo,L8
std_36Wm-t4im_1703845822587_86,36Wm-t4im,H4
std_Ex7r-sAf4_1705638489532_30,Ex7r-sAf4,L7
std_P34n-jT8z_1703848367356_1,P34n-jT8z,L1
std_72NR-FQD2_1705575339504_34,72NR-FQD2,L8
std_4QYr-LV64_1705496819107_10,4QYr-LV64,L9
std_6Y4r-j2Wo_1705576285348_80,6Y4r-j2Wo,L8
std_2toj-hp4u_1703848820730_18,2toj-hp4u,L2
