teacher,classtitle,classcode,ap1,ap2,ap3,ap4,ap5
tch_20200525-172551_9,class_20200525-172551_9,tw6u-gT9U,a5871953-d182-48e6-a588-f49d9aa58307,779962f4-11aa-478a-8fe8-5f0f83cf8fed,0e17834d-7eeb-4a40-9424-1f3dffcac796,621f24c2-68d5-4a0e-be11-fd6554c5cc6a,d4d8b499-84ed-41d1-9b9e-b6b8fc74fc69
tch_20200525-172551_10,class_20200525-172551_10,DP2o-ErBp,e5c436c2-ca74-4834-938a-db40180fadbe,4edf25d0-4dd3-458c-871f-1c35bd04c3e9,c941382a-bbd1-48b7-864d-f4ba176ce473,a5dd59be-df03-445b-be46-a44925c406fd,4692d08d-1255-4cf8-a91b-3b2d8abcc5f3
tch_20200525-172551_11,class_20200525-172551_11,7s7P-fRbo,a0cc9633-324e-4c9e-bf5d-52a479052429,c566f30b-7506-4c8b-8f3a-43da683aee66,09f19aa8-5354-4e57-b15d-64576298b9ae,7b65336d-511d-4b07-85cc-17c7f7e891a0,c501c85f-aada-4e88-b23e-54c6c4dbf043
tch_20200525-172551_12,class_20200525-172551_12,4qdw-WDr3,a8d7306c-67b4-42dd-b101-79f0606f849d,d39505eb-baab-4160-bd9f-910cd9f88b59,52ceeabf-34eb-47c9-8d15-031427b356c9,7fbdd344-5f98-4ee6-a11a-41bc2826b857,cc65cffd-80f4-4ab3-969f-742d2243b9d2
tch_20200525-172551_13,class_20200525-172551_13,2z3L-gzR9,5b7bd523-d9c7-46a5-876c-608959885ff6,be4b9d6e-835c-4d44-b787-631cdf94e364,4889c97e-4443-4f98-b6a8-7ab55f14fa95,1ecf5925-e121-4af7-9b77-323dd1040b37,3f800153-647b-4c99-9de7-1c49639c1f0b
tch_20200525-172551_14,class_20200525-172551_14,r7x3-mnLj,673ba017-1ece-4b10-a67c-922a4080d306,7d5ff363-8363-4161-8dff-894ff15f173f,8874a641-5e16-4ca6-8d66-591587952088,d441c8e1-f6db-4f9d-9435-625d37b46145,1b3e90d0-cd1b-44ed-95bb-c3b39fd8834c
tch_20200525-172551_15,class_20200525-172551_15,H6sU-EHgt,2577ec44-3652-422c-9725-b8c8ea8dbac3,a45fe4fd-5daa-4d65-a0d1-b798c97e4914,7db5b3c0-64a9-4490-ae08-5f88d0fff419,d3a1817b-eb0b-40b4-b90b-ac8b89abec60,8c0409f0-360e-453f-9cac-c17e5ec4dfe7
tch_20200525-172551_16,class_20200525-172551_16,6UoN-WQ9G,dc467eb7-b5ff-4638-a839-c399627c749e,c7dd6d58-711d-4b49-8426-e6540958a72c,54324076-20c1-4e01-a22d-d128a1e2f54e,5f7f8f01-4d7c-41be-aad8-e100cc85b0dc,c479cf6d-1832-4dfb-9d82-16b3f9786fc1
tch_20200525-172551_17,class_20200525-172551_17,2rH9-ebpC,32a209a9-ae63-4564-b55e-497619b46ea1,8031cb6e-918e-4938-8a8e-c3473024fa8c,7af73f69-5dd9-4789-ac62-d5c8e22c6a68,1339ebd0-046e-4932-8188-23859db81fc6,d0980565-c127-4795-9c62-7cca7973eb9f
tch_20200525-172551_18,class_20200525-172551_18,BU8p-moPb,71cc7a4e-45f1-41c7-984a-8f33c5a63416,ccc04b0e-bcb6-4acf-8553-a8d5df69978f,1ec16629-73bd-4b30-bba2-6f2968cb754c,283b5a7d-6135-467d-81a1-f81f22a5093d,f0232f61-449e-4aa3-abb7-324c498d8c0d
