stdextid,grpid,tchextid
std_1593398363955_45,182ecaa6-8259-49e1-9360-b7dcd2ad20ac,tch_20200629-073759_45
std_1593398544096_46,e761a9f4-9287-4b15-8c66-249ba1d8943e,tch_20200629-073759_46
std_1593398883882_49,93f90041-79a2-4781-9bcd-06c026a5ae41,tch_20200629-073759_49
std_1593398714893_47,dbde9f4c-f9c9-4f9d-a2f9-6696e79c558a,tch_20200629-073759_47
std_1593398721250_48,a05ab6ba-f837-4e13-b7da-186eca329594,tch_20200629-073759_48
std_1593398752876_49,344ef9bc-cbb6-4d93-8f62-771a9ec0a208,tch_20200629-073759_49
std_1593398412636_46,6f753713-a811-44de-a442-b156749b00a9,tch_20200629-073759_46
std_1593398585390_47,90b52d7b-e0c8-4aca-ad73-3d9a6cf2496d,tch_20200629-073759_47
std_1593398925655_50,139988f4-8022-4c39-a326-0a27126711eb,tch_20200629-073759_50
std_1593398585815_48,5a798d3a-4b12-4ce9-bfd4-2185573bcd76,tch_20200629-073759_48
std_1593398622787_49,6265898b-1997-4f91-8f86-daf556493495,tch_20200629-073759_49
std_1593398451810_47,66100f26-2ddb-4c54-9b6c-a8d79810f0b3,tch_20200629-073759_47
std_1593398965198_52,bcd267e9-385b-4348-9c2c-2cfb640b83ff,tch_20200629-073759_52
std_1593398797050_50,b49faae4-6a66-48bc-b5ec-654755d82ea4,tch_20200629-073759_50
std_1593398962965_51,db3b0fd2-d6ea-45dd-862e-3cbe05afb26e,tch_20200629-073759_51
std_1593398450899_48,9bbcc471-a295-4348-9917-43b135f39924,tch_20200629-073759_48
std_1593398491368_49,d75892a8-cb4c-4935-a68e-19bcce59d872,tch_20200629-073759_49
std_1593398841232_52,93c62e52-0b33-4d0a-8b45-5c6930207253,tch_20200629-073759_52
std_1593398667037_50,2bc3dd7c-0b83-484e-8a3a-99fe7807444c,tch_20200629-073759_50
std_1593398827803_51,e2ca96e7-7ccf-4fbd-b523-2e125f8cdb6e,tch_20200629-073759_51
std_1593399012089_53,3cedfb83-6827-4e51-b631-bdabbb2c296d,tch_20200629-073759_53
std_1593398715041_52,53dbb023-e7e3-4817-b0b3-9acb905159e2,tch_20200629-073759_52
std_1593398692013_51,39d6354a-8c30-4c59-992b-a5d208b14be4,tch_20200629-073759_51
std_1593398524762_50,6d6be2a1-1aa1-4539-a12d-fd843d79b1f2,tch_20200629-073759_50
std_1593398878589_53,dd439fd5-d136-4322-bbc8-a603e70b6a8b,tch_20200629-073759_53
std_1593399070224_54,b6e79578-9cd4-471d-95ad-aa576a017897,tch_20200629-073759_54
std_1593398578874_52,8dbfdac3-22c4-4352-a4b7-cfa42f78caf6,tch_20200629-073759_52
std_1593399081190_55,19e6ab6a-a6a7-4e9d-8596-101980da48a2,tch_20200629-073759_55
std_1593399092594_56,8eee7370-1083-4262-99b9-0a0eeb3784c3,tch_20200629-073759_56
std_1593398561096_51,b58a2b61-5e12-4cd5-8af0-c9c5ae05b84c,tch_20200629-073759_51
std_1593398746117_53,b1c324b1-bc42-4490-89d5-4569f69b349f,tch_20200629-073759_53
std_1593398933508_54,43faa021-9122-4291-90c0-df47480e18c7,tch_20200629-073759_54
std_1593399121072_57,8f53cddd-7114-4fce-bf7b-ccb51149378a,tch_20200629-073759_57
std_1593398944807_55,371c11ef-1152-46f9-ba9d-4f496a4dd8cd,tch_20200629-073759_55
std_1593398963042_56,426f5f3c-d990-488e-9b10-3090699973c1,tch_20200629-073759_56
std_1593398614381_53,3c5a178c-d7c0-4a41-959d-b9995ae54b67,tch_20200629-073759_53
std_1593399135888_58,88ef68ae-da2e-4e78-8e30-6eef182fd943,tch_20200629-073759_58
std_1593398986557_57,796dae38-cf69-4e53-b4a5-aac82e07d305,tch_20200629-073759_57
std_1593398802822_54,709fab4f-8adf-462e-8506-c68bcd72bf5b,tch_20200629-073759_54
std_1593398816163_55,cc72e047-1340-4b9d-ae29-07f8776b2839,tch_20200629-073759_55
std_1593398829378_56,3bb8a407-53a2-4a18-9c8f-d78e84fd3550,tch_20200629-073759_56
std_1593399174599_59,edb1bf62-ac14-4746-8035-440a72db7f5a,tch_20200629-073759_59
std_1593399013675_58,25b68939-34c6-404b-8982-98a575685063,tch_20200629-073759_58
std_1593398852697_57,ff31e786-ea3e-45cd-91fc-a56a3273e876,tch_20200629-073759_57
std_1593398691563_55,7709d907-4b3e-45f4-8eab-1a8fe47fdb14,tch_20200629-073759_55
std_1593398655830_54,5f193548-5803-4d35-b321-5c484f1dc734,tch_20200629-073759_54
std_1593398696052_56,d051a76c-9f94-469c-bac9-675ed9511986,tch_20200629-073759_56
std_1593399047464_59,76da03d6-447f-417a-9387-ef95df2fe814,tch_20200629-073759_59
std_1593398881944_58,3d804f26-9fd0-44e8-9e8e-4500098e83e2,tch_20200629-073759_58
std_1593398721181_57,d03e02eb-877f-4598-9488-e2d1c78b5768,tch_20200629-073759_57
std_1593399224572_60,c15bffbc-da60-4a4d-9b2c-443a1dc8bd86,tch_20200629-073759_60
std_1593398921568_59,859f237b-8cca-4bca-add4-7c5e1a0130dd,tch_20200629-073759_59
std_1593398748999_58,24995343-cb19-4cff-b6b0-b79fb290d2b1,tch_20200629-073759_58
std_1593399086905_60,0b0cd4a7-4fe1-45af-9bed-77e76928c5c4,tch_20200629-073759_60
std_1593399274372_61,aae04c90-d57d-4dbf-8129-d6069e563791,tch_20200629-073759_61
std_1593399288595_62,bf475025-8bef-4d06-9d56-7b225a9c26fd,tch_20200629-073759_62
std_1593398788287_59,d8300832-8ae3-45d2-b47b-94939f99dc0c,tch_20200629-073759_59
std_1593398954571_60,b228c74f-1da0-4f47-b7d7-4bbba9fd71ca,tch_20200629-073759_60
std_1593399317834_63,45166d34-769a-40e3-8633-c51957f9c132,tch_20200629-073759_63
std_1593399131723_61,fff3a02a-6907-4101-aa2c-c967f3bd0756,tch_20200629-073759_61
std_1593399151060_62,b304a392-bc9b-4501-a8ec-0e994a43e515,tch_20200629-073759_62
std_1593399347744_64,859bef7f-0621-47e8-b530-4869fcb9c567,tch_20200629-073759_64
std_1593398823439_60,bbd8550f-1988-4f5d-b0ba-2f770eb031d6,tch_20200629-073759_60
std_1593398998950_61,dd73db1e-cb40-4fc8-b657-501c3a1e4e9e,tch_20200629-073759_61
std_1593399189057_63,9026c74e-0aad-4fdd-aefd-601fdceb02b4,tch_20200629-073759_63
std_1593399024617_62,784861ce-2118-4926-93db-2dd680093b88,tch_20200629-073759_62
std_1593399354780_65,cdeffbb0-e7a0-439f-a29d-ff5a5412bf0c,tch_20200629-073759_65
std_1593399205901_64,1b70c12b-a50d-40ee-8ac6-9c2256d498eb,tch_20200629-073759_64
std_1593399048886_63,9caf3b09-7a79-48fd-bb2c-6d4fb3d7501e,tch_20200629-073759_63
std_1593398866715_61,af59fb0e-4aca-4ed2-ad3a-0663556fc76e,tch_20200629-073759_61
std_1593398889804_62,e3893321-5fc6-4cbf-8606-f888bfe4150a,tch_20200629-073759_62
std_1593399223202_65,c8dc06a9-b679-4d96-a078-06fa31407240,tch_20200629-073759_65
std_1593399401234_66,121ddbda-7fa3-40bb-9c1c-9d1e2995edcf,tch_20200629-073759_66
std_1593399070050_64,1037657c-57e2-4e78-ab31-5a8f23558c95,tch_20200629-073759_64
std_1593398915783_63,1a5814d4-a1ad-475f-9094-4dde4865bbaf,tch_20200629-073759_63
std_1593399448177_67,60afe225-8ec1-4024-80c9-099bed293e16,tch_20200629-073759_67
std_1593399262491_66,16731f1b-e7ab-4486-a685-86489329bcf2,tch_20200629-073759_66
std_1593399091783_65,5dedb478-0461-4e6a-8e85-0b4d6ed3ab37,tch_20200629-073759_65
std_1593399464226_68,238bd935-70fc-490f-9778-35d4ecc8deee,tch_20200629-073759_68
std_1593398943272_64,ef20dc20-1c98-42aa-bfdc-7268185411a4,tch_20200629-073759_64
std_1593399316600_67,a96eb883-54e1-48a5-8370-afadd5a471d6,tch_20200629-073759_67
std_1593399130123_66,2a41fab8-0408-46e9-ae8a-6e02c9b7d83e,tch_20200629-073759_66
std_1593398954943_65,6a7ef7ac-2bfd-457e-ba98-5564fac34576,tch_20200629-073759_65
std_1593399329432_68,1f0f4b04-6db5-465a-bf52-55cb62a29e49,tch_20200629-073759_68
std_1593399503750_69,2eb2964a-cb49-4fb2-8513-c8dab5bff646,tch_20200629-073759_69
std_1593399172107_67,809ee149-bf54-4ee9-be7a-2558b4b63d66,tch_20200629-073759_67
std_1593398998192_66,2d01f3c5-aa45-4227-81cf-27157a24157a,tch_20200629-073759_66
std_1593399199832_68,efc02ad3-6bb8-4ba8-97e4-7bc9440338b4,tch_20200629-073759_68
std_1593399537108_70,3e1205e3-a736-4e6e-b2f2-a09fa8005cfa,tch_20200629-073759_70
