tchextid,studentuuid,stdextid,classcode
tch_20200707-221253_2,0740aeb3-c501-11ea-96b3-0242ac110002,std_1594641878935_2,s4F3-6T3i
tch_20200707-221253_1,04e0770e-c501-11ea-89f8-0242ac110002,std_1594641874872_1,Rbus-FZi3
tch_20200707-221253_4,0c11493f-c501-11ea-96b3-0242ac110002,std_1594641886899_4,A2Wy-jkyL
tch_20200707-221253_3,099ca063-c501-11ea-96b3-0242ac110002,std_1594641882890_3,GE38-ExR4
tch_20200707-221253_5,0e5aeb86-c501-11ea-acee-0242ac110002,std_1594641890911_5,8rRh-JDqF
tch_20200707-221253_6,10bf19ca-c501-11ea-acee-0242ac110002,std_1594641894908_6,tJgr-oRK2
tch_20200707-221253_7,1322fb0f-c501-11ea-96b3-0242ac110002,std_1594641898943_7,Z3Kh-aPCt
tch_20200707-221253_8,1580c14f-c501-11ea-af23-0242ac110002,std_1594641902923_8,9FUy-Z76F
tch_20200707-221253_2,16c96d3d-c501-11ea-af23-0242ac110002,std_1594641905351_2,s4F3-6T3i
tch_20200707-221253_1,1734b2c2-c501-11ea-acee-0242ac110002,std_1594641906048_1,Rbus-FZi3
tch_20200707-221253_9,18307789-c501-11ea-96b3-0242ac110002,std_1594641907416_9,Qcvk-9D7v
tch_20200707-221253_4,193df026-c501-11ea-89f8-0242ac110002,std_1594641909511_4,A2Wy-jkyL
tch_20200707-221253_10,1a4f116c-c501-11ea-acee-0242ac110002,std_1594641910937_10,L27R-3Wun
tch_20200707-221253_3,1a2d0ac3-c501-11ea-96b3-0242ac110002,std_1594641911082_3,GE38-ExR4
tch_20200707-221253_5,1c1c3112-c501-11ea-89f8-0242ac110002,std_1594641914275_5,8rRh-JDqF
tch_20200707-221253_11,1cad7452-c501-11ea-96b3-0242ac110002,std_1594641914944_11,BsFt-mBLZ
tch_20200707-221253_12,1f1525ca-c501-11ea-89f8-0242ac110002,std_1594641918952_12,oD6F-gYB6
tch_20200707-221253_6,20d1c981-c501-11ea-89f8-0242ac110002,std_1594641922218_6,tJgr-oRK2
tch_20200707-221253_13,21764696-c501-11ea-af23-0242ac110002,std_1594641922961_13,73WH-a8Px
tch_20200707-221253_8,23c34414-c501-11ea-acee-0242ac110002,std_1594641927148_8,9FUy-Z76F
tch_20200707-221253_7,2395cbc6-c501-11ea-96b3-0242ac110002,std_1594641926837_7,Z3Kh-aPCt
tch_20200707-221253_14,23dce6e6-c501-11ea-acee-0242ac110002,std_1594641926969_14,NPfd-29zu
tch_20200707-221253_1,26ff0dc8-c501-11ea-acee-0242ac110002,std_1594641932556_1,Rbus-FZi3
tch_20200707-221253_2,2679d89f-c501-11ea-96b3-0242ac110002,std_1594641931696_2,s4F3-6T3i
tch_20200707-221253_15,2638feb4-c501-11ea-96b3-0242ac110002,std_1594641930976_15,okby-R8V2
tch_20200707-221253_9,279819ef-c501-11ea-89f8-0242ac110002,std_1594641933568_9,Qcvk-9D7v
tch_20200707-221253_17,2b083a8f-c501-11ea-af23-0242ac110002,std_1594641938992_17,c6Lc-zch3
tch_20200707-221253_4,27cf5696-c501-11ea-96b3-0242ac110002,std_1594641933937_4,A2Wy-jkyL
tch_20200707-221253_16,28a67c41-c501-11ea-96b3-0242ac110002,std_1594641934985_16,6kYV-yMjz
tch_20200707-221253_10,2b3a46d4-c501-11ea-89f8-0242ac110002,std_1594641939693_10,L27R-3Wun
tch_20200707-221253_3,2b98ba99-c501-11ea-96b3-0242ac110002,std_1594641940273_3,GE38-ExR4
tch_20200707-221253_11,2dd5b1d8-c501-11ea-89f8-0242ac110002,std_1594641944043_11,BsFt-mBLZ
tch_20200707-221253_18,2d664e53-c501-11ea-af23-0242ac110002,std_1594641943000_18,YCbh-f74N
tch_20200707-221253_5,2c289e06-c501-11ea-acee-0242ac110002,std_1594641941239_5,8rRh-JDqF
tch_20200707-221253_19,2fcf5f34-c501-11ea-af23-0242ac110002,std_1594641947016_19,qnCb-e3su
tch_20200707-221253_6,30ce31e0-c501-11ea-96b3-0242ac110002,std_1594641949054_6,tJgr-oRK2
