studentextuserid,cc
std_1591113050496_60,z9M3-PB9Y
std_1591113051754_61,BdEJ-QMsu
std_1591113053011_62,bp9W-464W
std_1591113054270_63,qv3u-V4uj
std_1591113055528_64,NJxm-2ueW
std_1591113056785_65,f23L-tNo6
std_1591113058044_66,3e6y-3HaF
std_1591113059301_67,s6QG-3Vc2
std_1591113060560_68,sqyx-6t7p
std_1591113061818_69,9ehB-jUFE
std_1591113063075_70,ve39-8gu4
std_1591113064333_71,vkza-ExJ2
std_1591113065591_72,Kb8r-8inR
std_1591113066850_73,tnBR-96sK
std_1591113068107_74,H7hg-ED2V
std_1591113069365_75,cV9J-Zm4t
std_1591113070623_76,eNQj-ahN2
std_1591113071881_77,c3C8-Wf8E
std_1591113073138_78,Y6Q7-28d3
std_1591113074397_79,w2ez-rDY2
std_1591113075654_80,YgaD-BpmH
std_1591113076911_81,BvK4-a28g
std_1591113078169_82,46b8-L3UG
std_1591113079427_83,c6pW-FYQ9
std_1591113080686_84,6ZYD-Wpjt
std_1591113081945_85,4Qey-CRxv
std_1591113083203_86,84zP-6G8M
std_1591113084461_87,4CT4-R7rZ
std_1591113085720_88,tT7y-2tN6
std_1591113086978_89,vwj2-E2Hv
std_1591113088235_90,AK6k-aNuA
std_1591113089493_91,438j-xL92
std_1591113090751_92,2CxP-HibE
std_1591113092008_93,9GY6-WwQ6
std_1591113093267_94,jB8X-dX6p
std_1591113094524_95,Loan-gsRX
std_1591113095782_96,r8Wy-8PJ3
std_1591113097039_97,9w3t-GTcX
std_1591113098297_98,jnq4-im8k
std_1591113099556_99,GdrG-DFp9
std_1591113100814_100,9Q6b-2B8K
std_1591113102071_101,2u24-hC4h
std_1591113103329_102,sE28-wHaV
std_1591113104587_103,AukK-wh3D
std_1591113105845_104,fNTG-7QtD
std_1591113107103_105,7hpi-Nfkz
std_1591113108360_106,r3mC-hL2M
std_1591113109618_107,hYN8-6xp6
std_1591113110876_108,FuN8-BaGb
std_1591113112134_109,23nu-Mm97
std_1591113113392_110,yqD8-Fn89
std_1591113114651_111,UiG4-LHn6
std_1591113115909_112,Wfe9-8vEh
std_1591113117168_113,JHhd-8XQW
std_1591113118424_114,qbjy-7jbQ
std_1591113119682_115,wfuT-93Di
std_1591113120940_116,G4Bz-nv7Q
std_1591113122199_117,8ox9-GtH2
std_1591113123457_118,nLa9-8DzB
std_1591113124715_119,M24N-394K
std_1591113125973_120,BwCr-RGeu
std_1591113127232_121,8274-W3Yo
std_1591113128491_122,h6NF-MvFE
std_1591113129749_123,XjhC-bXpC
std_1591113131007_124,k8Mv-8z4a
std_1591113132265_125,mgk8-M47U
std_1591113133524_126,qbet-LGhB
std_1591113134782_127,G2rY-4LX2
std_1591113136039_128,yG9F-2386
std_1591113137297_129,827z-Ecxi
std_1591113138555_130,E3Z7-jQAC
std_1591113139814_131,Nt6u-8bkC
std_1591113141072_132,49VR-F26Q
std_1591113142330_133,fj7M-Qyn6
std_1591113143588_134,7943-6EBv
std_1591113144845_135,g4uJ-H86W
std_1591113146103_136,Fe4Z-FjGL
std_1591113147362_137,ouwJ-YB72
std_1591113148618_138,duZ3-86o7
std_1591113149877_139,tp69-D8Xw
std_1591113151134_140,e24r-DTx7
std_1591113152393_141,yuEt-46Qt
std_1591113153650_142,noV7-LqDH
std_1591113154908_143,f7J2-p47w
std_1591113156166_144,6W3s-Y7EA
std_1591113157424_145,8r8C-p64H
std_1591113158682_146,EsyX-63hn
std_1591113159940_147,Q2Bs-Hpb9
std_1591113161198_148,KXx3-XZ7i
std_1591113162455_149,3JNQ-emdm
std_1591113163713_150,dxAc-3z8P
std_1591113164971_151,HNFm-3gF8
std_1591113166228_152,bwLo-P8fY
std_1591113167487_153,762L-Nvei
std_1591113168744_154,763R-n6sc
std_1591113170003_155,jUkt-6k8b
std_1591113171261_156,ADfX-WjJ2
std_1591113172519_157,y2xR-4aJB
std_1591113173776_158,v2t2-CnQ8
std_1591113175033_159,Rrza-XFVo
std_1591113176293_160,7cw4-A4J2
std_1591113177551_161,iLrc-q7gs
std_1591113178809_162,ZmvC-WjX4
std_1591113180066_163,sANH-Vj93
std_1591113181324_164,D7o8-NRD2
std_1591113182582_165,9bEj-qynM
std_1591113183840_166,84G8-Q3Hm
std_1591113185098_167,aJAt-x3tU
std_1591113186357_168,48P9-yPzy
std_1591113187614_169,ei38-6G8N
std_1591113188871_170,uE6d-6md8
std_1591113190129_171,r6nh-cNRC
std_1591113191388_172,UFnB-8YzV
std_1591113192644_173,DhDC-wM2d
std_1591113193903_174,i7fb-jDK4
std_1591113195161_175,AM6W-86FH
std_1591113196418_176,on7T-LCzp
std_1591113197676_177,kg8b-7AHD
std_1591113198955_178,FUQE-4q8L
std_1591113200212_179,nXr7-eMyr
std_1591113201472_180,y6KD-ECyX
std_1591113202748_181,M8a9-Miwp
std_1591113203988_182,3phr-DoKZ
std_1591113205248_183,27Ld-jzw8
std_1591113206506_184,X4ns-wr9N
std_1591113207765_185,47k7-B2Hh
std_1591113209023_186,Ew3r-HaF8
std_1591113210281_187,JH84-BzTo
std_1591113211540_188,PNRH-984y
std_1591113212798_189,fNFx-9R9t
std_1591113214056_190,39hH-EAE9
std_1591113215315_191,Pwd9-8gP2
std_1591113216573_192,oZdv-9FHX
std_1591113217830_193,E79U-248x
std_1591113219088_194,zoht-Y4AQ
std_1591113220347_195,f489-F4w9
std_1591113221605_196,74zZ-83xo
std_1591113222862_197,7Qzx-7ATL
std_1591113224120_198,9BRg-HkMv
std_1591113225379_199,AXN6-7Vpn
std_1591113226637_200,LmQF-tqiK
std_1591113227894_201,JX8d-qVu7
std_1591113229151_202,Y89R-Azme
std_1591113230409_203,Je83-QjDZ
std_1591113231668_204,J976-ye67
std_1591113232926_205,2eP3-7obK
std_1591113234183_206,ZrEn-M4w9
std_1591113235441_207,Xuei-p97Q
std_1591113236698_208,ERut-2742
std_1591113237956_209,4v3B-iW6c
std_1591113239214_210,HLQY-i2GH
std_1591113240472_211,xtQP-e6cT
std_1591113241729_212,8Ubx-7ks7
std_1591113242987_213,tvmf-jT2e
std_1591113244245_214,PxXv-TEGm
std_1591113245503_215,zYwY-8G4m
std_1591113246760_216,yF2X-vFgm
std_1591113248018_217,JbEr-3Dsn
std_1591113249276_218,WYKm-69Ce
std_1591113250535_219,92dv-L9na
std_1591113251793_220,yq3q-9q6c
std_1591113253051_221,fv3P-Refa
std_1591113254309_222,8QXw-7fDW
std_1591113255566_223,F4rN-WFZg
std_1591113256825_224,VzvD-84N9
std_1591113258082_225,aXPj-8Bih
std_1591113259340_226,F8ks-p4Rs
std_1591113260598_227,ZCPk-HRA4
std_1591113261857_228,u6md-AYsz
std_1591113263115_229,W9QD-cUw2
std_1591113264371_230,A727-R7HT
std_1591113265630_231,4LGj-J246
std_1591113266888_232,eRg2-67fJ
std_1591113268146_233,4z37-BZJA
std_1591113269404_234,uxmV-9pH7
std_1591113270661_235,JLrj-7U4A
std_1591113271920_236,u7Xp-Je8N
std_1591113273178_237,QUWV-kbaq
std_1591113274438_238,C9Wg-6aeB
std_1591113275696_239,apwf-26N8
std_1591113276955_240,a28j-r8cP
std_1591113278213_241,ugFj-Vm62
std_1591113279471_242,6hVK-F8PN
std_1591113280728_243,P8Eo-4FiK
std_1591113281987_244,tZCz-9UQq
std_1591113283245_245,ia92-da8C
std_1591113284503_246,Xc7d-34r6
std_1591113285761_247,sgr7-UD38
std_1591113287017_248,3KWD-nBki
std_1591113288277_249,qufg-WgJu
std_1591113289534_250,kut7-uHDc
std_1591113290792_251,9G6C-toeX
std_1591113292049_252,aPMd-mLJ8
std_1591113293308_253,7fpy-A4wm
std_1591113294566_254,7Wd6-2tv8
std_1591113295823_255,VCX7-2Yhe
std_1591113297082_256,rFqW-Ra93
std_1591113298338_257,72QB-QE7R
std_1591113299596_258,VMGF-z3Bv
std_1591113300854_259,42No-boR6
std_1591113302113_260,L69L-bsd3
std_1591113303370_261,zaeV-ashd
std_1591113304629_262,wujE-d7iK
std_1591113305885_263,uKxJ-dvC8
std_1591113307143_264,bwbF-x7tX
std_1591113308402_265,4VQi-8x7A
std_1591113309659_266,g8Wn-fX82
std_1591113310916_267,32xn-k8bw
std_1591113312174_268,Lfs9-B3ug
std_1591113313432_269,2hBk-M9PQ
std_1591113314690_270,t3UJ-PrAC
std_1591113315947_271,uGZb-xGx9
std_1591113317206_272,jMCX-MH9u
std_1591113318463_273,4Ctu-46Ug
std_1591113319721_274,PwVu-x3Lp
std_1591113320979_275,hH3h-DGJd
std_1591113322238_276,qV3j-Tabc
std_1591113323495_277,9a4V-mtnp
std_1591113324752_278,KTWQ-Uv34
std_1591113326010_279,oMLi-UV8h
std_1591113327268_280,4kov-8pAM
std_1591113328527_281,L6ya-nznB
std_1591113329783_282,FUPe-z9Lb
std_1591113331041_283,7e8b-i4HL
std_1591113332300_284,6T8q-w97t
std_1591113333558_285,wdax-vEDR
std_1591113334815_286,dJ8n-b2AX
std_1591113336072_287,MUyP-zGg4
std_1591113337330_288,g268-j79s
std_1591113338588_289,od2U-d28j
std_1591113339847_290,2uFt-4xrD
std_1591113341105_291,bMUE-nkDA
std_1591113342363_292,84UJ-4ZC6
std_1591113343619_293,ybDm-cpZh
std_1591113344878_294,37VZ-jocR
std_1591113346135_295,MY2e-Cb26
std_1591113347393_296,xJ4T-pjwE
std_1591113348651_297,TiW6-9m9e
std_1591113349909_298,q6As-AtdE
std_1591113351166_299,f749-g8v4
std_1591113352425_300,sz82-i97J
std_1591113353682_301,DvCB-q4bY
std_1591113354940_302,W42Q-3Z6j
std_1591113356199_303,wW9M-94UR
std_1591113357456_304,74k9-2xV3
std_1591113358714_305,4Z72-9saB
std_1591113359973_306,H4k8-2YKb
std_1591113361230_307,LmRW-Q79T
std_1591113362488_308,Uoie-uV3h
std_1591113363746_309,t3o2-7rPk
std_1591113365003_310,GqZi-tKn4
std_1591113366261_311,a42T-8Ja3
std_1591113367518_312,bCTM-nKpG
std_1591113368777_313,V36u-aHg2
std_1591113370035_314,f684-RMFd
std_1591113371292_315,3stn-6fxB
std_1591113372551_316,tH9F-yV7A
std_1591113373809_317,3r27-GCRA
std_1591113375067_318,VTPx-TfWT
std_1591113376325_319,NQ97-cu2q
std_1591113377583_320,EXzn-Vej7
std_1591113378842_321,p6w8-TpoT
std_1591113380099_322,Rr34-DEC6
std_1591113381357_323,86dM-BjtV
std_1591113382615_324,rtL7-fpa9
std_1591113383872_325,E938-L4K9
std_1591113385130_326,wh4k-T2bH
std_1591113386388_327,8o6A-n2YN
std_1591113387646_328,9adT-n7e8
std_1591113388903_329,Udpk-9zP8
std_1591113390161_330,FkK4-XG3r
std_1591113391419_331,c7a3-4P8C
std_1591113392678_332,q7NB-CX2o
std_1591113393934_333,9Nj7-KvLX
std_1591113395193_334,j4Qi-w8i2
std_1591113396450_335,Hb4d-Yx9C
std_1591113397708_336,Xnry-4iG4
std_1591113398965_337,fYBp-RVjX
std_1591113400223_338,34xd-32J7
std_1591113401481_339,srQw-h6CU
std_1591113402739_340,c4Ls-onmc
std_1591113403997_341,cTg2-DT3V
std_1591113405254_342,7f64-yinr
std_1591113406513_343,QAH4-iv7E
std_1591113407770_344,koH4-gAkG
std_1591113409029_345,td9M-23kC
std_1591113410286_346,46hr-zKmg
std_1591113411545_347,GJFE-uGfb
std_1591113412802_348,dwLn-3hCY
std_1591113414060_349,AcK4-eTDb
std_1591113415318_350,b8iy-oFYb
std_1591113416576_351,KJvA-pB6R
std_1591113417835_352,u8DH-MJ9G
std_1591113419093_353,J4CZ-iGQk
std_1591113420351_354,EJxD-762o
std_1591113421608_355,6jV6-uVg4
std_1591113422867_356,sLe8-RQte
std_1591113424124_357,VN7D-TMCF
std_1591113425381_358,6K4A-BAia
std_1591113426639_359,6Jm6-qi68
std_1591113427898_360,mLen-v69M
std_1591113429189_361,mTc2-36qy
