extuserid,classcode,category,pe_category,attempt_end_index,category_type,classType
std_W6Lo-4MLA_1706514821694_84,W6Lo-4MLA,M5,m5pe,4,M,normal
std_4bBN-Hf7o_1706511660725_70,4bBN-Hf7o,M1,m1pe,4,M,normal
std_ud62-g3n2_1706502337036_34,ud62-g3n2,L7,l7pe,3,L,normal
std_LTI_u7Nx-L4pG_1758451971715_28,u7Nx-L4pG,M3,m3pe,4,M,LTI
std_LTI_xqzw-4CL3_1758451458862_12,xqzw-4CL3,L2,l2pe,4,L,LTI
std_Kp7P-Uqxm_1732012500515_22,Kp7P-Uqxm,L1,l1pe,3,L,normal
std_LTI_Hxge-FW6a_1758451571729_16,Hxge-FW6a,L2,l2pe,4,L,LTI
std_vfj8-cFXZ_1732020011277_5,vfj8-cFXZ,H2,h2pe,4,H,normal
std_t3GL-dmx3_1732021029254_56,t3GL-dmx3,L7,l7pe,3,L,normal
std_j2a6-2T2Q_1706501815838_4,j2a6-2T2Q,L1,l1pe,3,L,normal
std_gn3b-F29V_1706507829880_49,gn3b-F29V,L8,l8pe,4,L,normal
std_LTI_Qd29-XVP9_1758286192299_2,Qd29-XVP9,L2,l2pe,4,L,LTI
std_JqP8-6T3K_1706502698879_52,JqP8-6T3K,L8,l8pe,4,L,normal
std_enUv-dH74_1706520787254_69,enUv-dH74,M1,m1pe,4,M,normal
std_Quk3-cWn4_1732020768233_43,Quk3-cWn4,L7,l7pe,3,L,normal
std_63yT-383X_1732012358047_16,63yT-383X,L1,l1pe,3,L,normal
std_h9o4-uc4K_1706499195567_84,h9o4-uc4K,M5,m5pe,4,M,normal
std_P84v-CnQR_1706498114894_35,P84v-CnQR,L7,l7pe,3,L,normal
std_P2Ar-CmRF_1732012179233_6,P2Ar-CmRF,H3,h3pe,4,H,normal
std_koUh-8E32_1706510360256_2,koUh-8E32,L1,l1pe,3,L,normal
std_6s3x-3X38_1706511110369_44,6s3x-3X38,L7,l7pe,3,L,normal
std_LTI_Beyt-HwZr_1758522569291_2,Beyt-HwZr,H5,h5pe,4,H,LTI
std_LTI_LWQm-A6wL_1758522573614_5,LWQm-A6wL,H5,h5pe,4,H,LTI
std_ipsU-8fzx_1706513900205_33,ipsU-8fzx,L3,l3pe,4,L,normal
std_K8fm-37xm_1706507019154_4,K8fm-37xm,L1,l1pe,3,L,normal
std_f6Zq-VTX3_1732021796944_92,f6Zq-VTX3,M4,m4pe,4,M,normal
std_b9it-dD8A_1706497671284_7,b9it-dD8A,L1,l1pe,3,L,normal
std_LTI_8qKk-9EbR_1758451719859_20,8qKk-9EbR,L2,l2pe,4,L,LTI
std_dqNL-JLPj_1706502726605_53,dqNL-JLPj,L8,l8pe,4,L,normal
std_LTI_ZNrt-ZJ7w_1758451592501_15,ZNrt-ZJ7w,L2,l2pe,4,L,LTI
std_qWLP-BhQm_1706507173779_12,qWLP-BhQm,L1,l1pe,3,L,normal
std_LTI_6Zc7-q8fh_1758452035875_26,6Zc7-q8fh,M3,m3pe,4,M,LTI
std_fu76-Cm9N_1732020225736_17,fu76-Cm9N,L1,l1pe,3,L,normal
std_9kTK-ujF2_1706497657792_9,9kTK-ujF2,L1,l1pe,3,L,normal
std_LTI_ezF6-Ykv3_1758286496815_9,ezF6-Ykv3,M3,m3pe,4,M,LTI
std_sHNB-7LUh_1732013985517_97,sHNB-7LUh,M5,m5pe,4,M,normal
std_LTI_b437-F2hD_1758451298673_6,b437-F2hD,L2,l2pe,4,L,LTI
std_LTI_xqzw-4CL3_1758451499775_12,xqzw-4CL3,L2,l2pe,4,L,LTI
std_mDFM-p6U3_1706517732370_79,mDFM-p6U3,M4,m4pe,4,M,normal
std_AT2h-Dnk8_1706517867469_84,AT2h-Dnk8,M5,m5pe,4,M,normal
std_n68P-V68F_1732012196830_8,n68P-V68F,L1,l1pe,3,L,normal
std_LTI_7Tpj-sksu_1758451662533_11,7Tpj-sksu,L2,l2pe,4,L,LTI
std_dnaj-J7yL_1706497686778_11,dnaj-J7yL,L1,l1pe,3,L,normal
std_uYVm-FPwW_1706502740298_56,uYVm-FPwW,L8,l8pe,4,L,normal
std_2KEe-HFKQ_1732020225241_7,2KEe-HFKQ,H4,h4pe,4,H,normal
std_LTI_ARaE-7k2J_1758286269558_3,ARaE-7k2J,L2,l2pe,4,L,LTI
std_8427-UyXM_1706511060634_40,8427-UyXM,L7,l7pe,3,L,normal
std_LTI_xqzw-4CL3_1758451681612_12,xqzw-4CL3,L2,l2pe,4,L,LTI
std_LTI_ob4E-2N49_1758286538572_8,ob4E-2N49,M3,m3pe,4,M,LTI
std_HJgp-fV7U_1706511677734_73,HJgp-fV7U,M2,m2pe,4,M,normal
std_8DvP-Rop7_1706517266635_57,8DvP-Rop7,L8,l8pe,4,L,normal
std_646K-UEow_1706499346232_93,646K-UEow,H3,h3pe,4,H,normal
std_sR8s-vH2t_1706498300301_43,sR8s-vH2t,L7,l7pe,3,L,normal
std_Lbh3-p9pE_1706508665208_94,Lbh3-p9pE,H3,h3pe,4,H,normal
std_3987-nryG_1706516905694_32,3987-nryG,L3,l3pe,4,L,normal
std_nF48-qPXA_1706498496738_56,nF48-qPXA,L8,l8pe,4,L,normal
std_PEwd-fPGH_1706507502745_31,PEwd-fPGH,L3,l3pe,4,L,normal
std_r7z9-74mA_1706510475061_9,r7z9-74mA,L1,l1pe,3,L,normal
std_4o9w-7F3Y_1706501947856_11,4o9w-7F3Y,L1,l1pe,3,L,normal
std_464k-3k4U_1706517187470_53,464k-3k4U,L8,l8pe,4,L,normal
std_3BU3-jC28_1706503311223_87,3BU3-jC28,H1,h1pe,4,H,LTI
std_VCzA-7okC_1706507672974_41,VCzA-7okC,L7,l7pe,3,L,normal
std_mdFg-4fiL_1706517771547_81,mdFg-4fiL,M5,m5pe,4,M,normal
std_K63F-RyrK_1706514247331_52,K63F-RyrK,L8,l8pe,4,L,normal
std_xC8X-ALzs_1706501949194_13,xC8X-ALzs,L1,l1pe,3,L,normal
std_AZeW-sk47_1706511221669_49,AZeW-sk47,L8,l8pe,4,L,normal
std_LTI_RA3N-Mrj7_1758286349934_7,RA3N-Mrj7,M3,m3pe,4,M,LTI
std_83AQ-j6Wa_1732012222439_10,83AQ-j6Wa,L1,l1pe,3,L,normal
std_EPwD-4Zsu_1706520966516_82,EPwD-4Zsu,M5,m5pe,4,M,normal
std_LTI_ARaE-7k2J_1758286447551_3,ARaE-7k2J,L2,l2pe,4,L,LTI
std_msiA-2sRW_1732021020917_55,msiA-2sRW,L7,l7pe,3,L,normal
std_Ks93-68fG_1706507868675_52,Ks93-68fG,L8,l8pe,4,L,normal
std_9K8z-bdGx_1706510502201_11,9K8z-bdGx,L1,l1pe,3,L,normal
std_LTI_Beyt-HwZr_1758522511901_2,Beyt-HwZr,H5,h5pe,4,H,LTI
std_hUbR-vKVu_1706510573369_13,hUbR-vKVu,L1,l1pe,3,L,normal
std_Dm4q-4qtM_1732020302161_19,Dm4q-4qtM,L1,l1pe,3,L,normal
std_H638-3mUv_1706510971892_36,H638-3mUv,L7,l7pe,3,L,normal
std_f6Bp-xNaH_1732013145461_56,f6Bp-xNaH,L7,l7pe,3,L,normal
std_46pV-i787_1706502662753_50,46pV-i787,L8,l8pe,4,L,normal
std_uepj-eDY7_1706503500565_95,uepj-eDY7,H3,h3pe,4,H,normal
std_9T4D-8JHj_1706499115621_83,9T4D-8JHj,M5,m5pe,4,M,normal
std_876u-Cy6H_1706499165586_91,876u-Cy6H,H2,h2pe,4,H,normal
std_3dEg-HU2C_1732012424437_20,3dEg-HU2C,L1,l1pe,3,L,normal
std_LTI_c6Q3-o7NU_1758451225279_5,c6Q3-o7NU,L2,l2pe,4,L,LTI
std_LTI_By42-wjgj_1758451617169_14,By42-wjgj,L2,l2pe,4,L,LTI
std_b6yX-892M_1706516401588_6,b6yX-892M,L1,l1pe,3,L,normal
std_m6Xu-9h7L_1706497522670_1,m6Xu-9h7L,L1,l1pe,3,L,normal
std_M6wQ-69Ew_1706510895378_33,M6wQ-69Ew,L3,l3pe,4,L,normal
std_kYrW-4Ave_1732012187742_5,kYrW-4Ave,H2,h2pe,4,H,normal
std_CQf9-txLV_1706507818438_48,CQf9-txLV,L7,l7pe,3,L,normal
