studentextuserjid,classcode,classid,invitationid,tch
s42_1594823530950_17,TGKF-yb2W,51538f56-c6a7-11ea-af23-0242ac110002,5a15b489-fc72-4109-a16e-f01a0ea18152,t42_20200715-194839_17
s42_1594823534866_22,pg4X-wtk3,a5401679-c6a7-11ea-acee-0242ac110002,e0957224-973a-4078-a4e0-1fb7f5632d95,t42_20200715-194839_22
s42_1594823534740_20,e4By-Zny3,829ff3c0-c6a7-11ea-96b3-0242ac110002,a0777303-2d87-4802-90de-09803666f2b0,t42_20200715-194839_20
s42_1594823536131_24,Zcxw-roqo,cbb6e38c-c6a7-11ea-96b3-0242ac110002,853b30b6-0cb7-493a-b6cd-90835dd18fe6,t42_20200715-194839_24
s42_1594823540896_18,LYvL-xLAz,62fe918a-c6a7-11ea-af23-0242ac110002,ccee6f2a-e845-4b00-abd3-fba0eb4ab6dd,t42_20200715-194839_18
s42_1594823540143_25,sJk4-9UjR,e01aeb99-c6a7-11ea-89f8-0242ac110002,4755476f-189f-451d-9b90-9d3356f36134,t42_20200715-194839_25
s42_1594823538824_21,EUGd-YDq3,97479420-c6a7-11ea-acee-0242ac110002,b766bed2-9319-4176-8f2a-2a4b80fa342b,t42_20200715-194839_21
s42_1594823541613_23,24T7-Ueyf,bca836fe-c6a7-11ea-af23-0242ac110002,ca01ecb4-38e7-40bf-9c77-574ea680ad53,t42_20200715-194839_23
s42_1594823546479_19,u8oW-Kbw8,704e2951-c6a7-11ea-96b3-0242ac110002,6df901b8-c223-4eb5-9239-b6fa5cb7e088,t42_20200715-194839_19
s42_1594823549480_24,Zcxw-roqo,cbb6e38c-c6a7-11ea-96b3-0242ac110002,9b235159-9953-464e-aafc-231e8150776b,t42_20200715-194839_24
s42_1594823552598_18,LYvL-xLAz,62fe918a-c6a7-11ea-af23-0242ac110002,3ec3c861-c0fe-4a54-926e-0affb8491d9c,t42_20200715-194839_18
s42_1594823547155_17,TGKF-yb2W,51538f56-c6a7-11ea-af23-0242ac110002,65bb53d4-6613-4678-acd6-1e09be172878,t42_20200715-194839_17
s42_1594823547326_22,pg4X-wtk3,a5401679-c6a7-11ea-acee-0242ac110002,0a2ec8aa-8265-4619-bbae-e4e8be22b93d,t42_20200715-194839_22
s42_1594823548077_20,e4By-Zny3,829ff3c0-c6a7-11ea-96b3-0242ac110002,8f7553b9-8190-4a7d-a38c-2f3c950b32e4,t42_20200715-194839_20
s42_1594823547816_26,ynMa-je9E,f046047a-c6a7-11ea-96b3-0242ac110002,f2c9519a-e6d1-437e-9ed0-59564b757b79,t42_20200715-194839_26
s42_1594823555759_25,sJk4-9UjR,e01aeb99-c6a7-11ea-89f8-0242ac110002,6efe2cb9-8625-4751-bf0f-7c7b66484081,t42_20200715-194839_25
s42_1594823556969_23,24T7-Ueyf,bca836fe-c6a7-11ea-af23-0242ac110002,5651a998-16da-4540-b1be-b40eecf86065,t42_20200715-194839_23
s42_1594823556446_21,EUGd-YDq3,97479420-c6a7-11ea-acee-0242ac110002,5eb245c4-d9ed-4da0-ac4e-56823475d67e,t42_20200715-194839_21
s42_1594823560706_19,u8oW-Kbw8,704e2951-c6a7-11ea-96b3-0242ac110002,06fc8f9d-ecfb-49c1-b5ff-7540657ff769,t42_20200715-194839_19
s42_1594823563529_17,TGKF-yb2W,51538f56-c6a7-11ea-af23-0242ac110002,48f4c222-3a90-41fa-87de-f1e8ba69df8e,t42_20200715-194839_17
s42_1594823563727_20,e4By-Zny3,829ff3c0-c6a7-11ea-96b3-0242ac110002,ec0f95d9-9cee-4946-b06b-78fd1e0b304e,t42_20200715-194839_20
s42_1594823562476_24,Zcxw-roqo,cbb6e38c-c6a7-11ea-96b3-0242ac110002,d75ba414-c5c2-488e-80a7-9bab7fb8232f,t42_20200715-194839_24
s42_1594823565517_26,ynMa-je9E,f046047a-c6a7-11ea-96b3-0242ac110002,91c326f8-e8b5-4e90-a094-64615e79ec07,t42_20200715-194839_26
s42_1594823563257_18,LYvL-xLAz,62fe918a-c6a7-11ea-af23-0242ac110002,b019b069-ec7e-4be1-b7b1-24fa7fc8451b,t42_20200715-194839_18
s42_1594823563603_22,pg4X-wtk3,a5401679-c6a7-11ea-acee-0242ac110002,ac0858df-26cc-437c-b5a2-4d88f6e6588b,t42_20200715-194839_22
s42_1594823568236_25,sJk4-9UjR,e01aeb99-c6a7-11ea-89f8-0242ac110002,d03b78cd-0d00-490a-93a2-5fd337a3605d,t42_20200715-194839_25
s42_1594823566382_27,mw7k-CpHZ,fec51bbe-c6a7-11ea-af23-0242ac110002,0cec2e83-ab99-4637-b4d1-bc1a2fa03761,t42_20200715-194839_27
s42_1594823569140_23,24T7-Ueyf,bca836fe-c6a7-11ea-af23-0242ac110002,ef04137b-d9cf-4d63-811b-cf0797f3cc0e,t42_20200715-194839_23
s42_1594823576102_26,ynMa-je9E,f046047a-c6a7-11ea-96b3-0242ac110002,299d459d-8f91-4fbc-ad89-d06c98439ed9,t42_20200715-194839_26
s42_1594823574537_20,e4By-Zny3,829ff3c0-c6a7-11ea-96b3-0242ac110002,65a54668-fc24-43dc-940b-0eb13a98ae10,t42_20200715-194839_20
s42_1594823571792_19,u8oW-Kbw8,704e2951-c6a7-11ea-96b3-0242ac110002,f9e6e72b-7b1e-46c8-9776-adaeff940f86,t42_20200715-194839_19
s42_1594823570841_21,EUGd-YDq3,97479420-c6a7-11ea-acee-0242ac110002,c188f1d3-40e6-4366-a0a0-ca0f3b300434,t42_20200715-194839_21
s42_1594823575412_24,Zcxw-roqo,cbb6e38c-c6a7-11ea-96b3-0242ac110002,3914373d-2040-4c68-8d22-0855d6fb55ce,t42_20200715-194839_24
s42_1594823580999_25,sJk4-9UjR,e01aeb99-c6a7-11ea-89f8-0242ac110002,406d6cd5-7595-43dd-8fe2-1301294f3b01,t42_20200715-194839_25
s42_1594823582561_27,mw7k-CpHZ,fec51bbe-c6a7-11ea-af23-0242ac110002,27121a6a-c2cd-416f-95cc-6723b4611b43,t42_20200715-194839_27
s42_1594823579238_22,pg4X-wtk3,a5401679-c6a7-11ea-acee-0242ac110002,924e1c8e-33ce-4143-8e4d-b07db331c477,t42_20200715-194839_22
s42_1594823579231_18,LYvL-xLAz,62fe918a-c6a7-11ea-af23-0242ac110002,f8180ec5-17e8-4f25-98d8-acdad8bbcfd7,t42_20200715-194839_18
s42_1594823586171_26,ynMa-je9E,f046047a-c6a7-11ea-96b3-0242ac110002,68652a95-91eb-46a0-a3cf-c43e425ca07e,t42_20200715-194839_26
s42_1594823584358_23,24T7-Ueyf,bca836fe-c6a7-11ea-af23-0242ac110002,3673df13-5e9e-4cd6-a247-e4424955ec5d,t42_20200715-194839_23
s42_1594823586257_20,e4By-Zny3,829ff3c0-c6a7-11ea-96b3-0242ac110002,31f58c63-6647-4e74-994f-dc64561a0256,t42_20200715-194839_20
s42_1594823592269_24,Zcxw-roqo,cbb6e38c-c6a7-11ea-96b3-0242ac110002,e61d5657-e85b-4070-804b-d51aee115eac,t42_20200715-194839_24
s42_1594823588543_21,EUGd-YDq3,97479420-c6a7-11ea-acee-0242ac110002,89124d4a-384f-4892-82e1-82024f0e3685,t42_20200715-194839_21
s42_1594823588205_19,u8oW-Kbw8,704e2951-c6a7-11ea-96b3-0242ac110002,853569a2-4b49-4b9d-98a5-62da6cc0f816,t42_20200715-194839_19
s42_1594823594335_25,sJk4-9UjR,e01aeb99-c6a7-11ea-89f8-0242ac110002,44d9bc13-4478-4925-aee9-48384c31078f,t42_20200715-194839_25
s42_1594823600209_26,ynMa-je9E,f046047a-c6a7-11ea-96b3-0242ac110002,df7ad234-b9e4-42cf-8dcc-a130632116cf,t42_20200715-194839_26
s42_1594823596735_22,pg4X-wtk3,a5401679-c6a7-11ea-acee-0242ac110002,d10e7f80-112b-45d1-8619-7baa64d957b0,t42_20200715-194839_22
s42_1594823596410_27,mw7k-CpHZ,fec51bbe-c6a7-11ea-af23-0242ac110002,02456a70-34c1-4104-890d-4f3d63849540,t42_20200715-194839_27
s42_1594823603820_28,KMas-ykRC,12f828a2-c6a8-11ea-96b3-0242ac110002,99fe4e26-a93c-4365-b18f-83dd8c70111b,t42_20200715-194839_28
s42_1594823601085_23,24T7-Ueyf,bca836fe-c6a7-11ea-af23-0242ac110002,d18adc4c-82e3-444c-a0ef-c64dae5b108b,t42_20200715-194839_23
s42_1594823603295_24,Zcxw-roqo,cbb6e38c-c6a7-11ea-96b3-0242ac110002,93972a84-90b6-42eb-b087-51ca9b165a60,t42_20200715-194839_24
s42_1594823604656_21,EUGd-YDq3,97479420-c6a7-11ea-acee-0242ac110002,0e4afe7a-d500-4321-be5a-e66ca4d97904,t42_20200715-194839_21
s42_1594823603053_20,e4By-Zny3,829ff3c0-c6a7-11ea-96b3-0242ac110002,177795e7-5d95-4b8a-8f7b-cc2b32a205e3,t42_20200715-194839_20
s42_1594823609742_25,sJk4-9UjR,e01aeb99-c6a7-11ea-89f8-0242ac110002,30fb4efe-ccb5-431a-b5c2-254bde5de4f5,t42_20200715-194839_25
s42_1594823612741_27,mw7k-CpHZ,fec51bbe-c6a7-11ea-af23-0242ac110002,2e133378-ada8-4032-8282-6926b2c8cb2a,t42_20200715-194839_27
s42_1594823612695_22,pg4X-wtk3,a5401679-c6a7-11ea-acee-0242ac110002,4a259592-79a1-4914-ae84-4dd2550c1b16,t42_20200715-194839_22
s42_1594823612335_26,ynMa-je9E,f046047a-c6a7-11ea-96b3-0242ac110002,832110a9-5390-43da-b302-bdf9965da1c5,t42_20200715-194839_26
s42_1594823615642_24,Zcxw-roqo,cbb6e38c-c6a7-11ea-96b3-0242ac110002,bfd7685c-54ee-4ea5-a21e-057bc7210bb7,t42_20200715-194839_24
s42_1594823614869_23,24T7-Ueyf,bca836fe-c6a7-11ea-af23-0242ac110002,de297a9d-2cc6-4fdf-ae0f-c00be7888071,t42_20200715-194839_23
s42_1594823614574_28,KMas-ykRC,12f828a2-c6a8-11ea-96b3-0242ac110002,5364bc51-b852-4280-a796-d7829fc0a27f,t42_20200715-194839_28
s42_1594823616405_21,EUGd-YDq3,97479420-c6a7-11ea-acee-0242ac110002,de35f6a4-2950-4b2f-8281-8b5dcff5378b,t42_20200715-194839_21
s42_1594823619755_20,e4By-Zny3,829ff3c0-c6a7-11ea-96b3-0242ac110002,0835df83-5dfb-4609-823e-69fa6d299d44,t42_20200715-194839_20
s42_1594823624112_22,pg4X-wtk3,a5401679-c6a7-11ea-acee-0242ac110002,5c14b97d-8ac4-4fc3-963f-c1222438b497,t42_20200715-194839_22
s42_1594823624107_27,mw7k-CpHZ,fec51bbe-c6a7-11ea-af23-0242ac110002,7e0a75f3-ec21-407b-930d-d316252f948e,t42_20200715-194839_27
s42_1594823626064_26,ynMa-je9E,f046047a-c6a7-11ea-96b3-0242ac110002,7222d16d-3bee-4925-b181-77b0920e8c14,t42_20200715-194839_26
s42_1594823624047_25,sJk4-9UjR,e01aeb99-c6a7-11ea-89f8-0242ac110002,74f4fbf4-651e-4a6b-88b3-170778b72b7c,t42_20200715-194839_25
