teacherextuserid,classtitle,classcode,category,pe_category,category_type
tch_L9_20240222-134031_161,class_L9_20240222-134031_161,j32y-2a8K,L9,l9pe,L
tch_L1_20240129-133344_9,class_L1_20240129-133344_9,CKX2-y9V8,L1,l1pe,L
tch_H1_20240129-133344_85,class_H1_20240129-133344_85,2EAW-hmY7,H1,h1pe,H
tch_L1_20240222-124507_103,class_L1_20240222-124507_103,8xBT-zpzR,L1,l1pe,L
tch_H3_20240102-154640_83,class_H3_20240102-154640_83,7B9P-T7P2,H3,h3pe,H
tch_L9_20240129-124448_67,class_L9_20240129-124448_67,LKih-68rt,L9,l9pe,L
tch_H1_20240222-124507_188,class_H1_20240222-124507_188,69cj-E8fD,H1,h1pe,H
tch_L7_20240304-175551_141,class_L7_20240304-175551_141,N9Yx-yZEZ,L7,l7pe,L
tch_L9_20240129-124448_61,class_L9_20240129-124448_61,TJCx-6Wsy,L9,l9pe,L
tch_H3_20240129-082111_92,class_H3_20240129-082111_92,RL2o-A8i8,H3,h3pe,H
tch_M5_20240222-124507_84,class_M5_20240222-124507_84,sx9g-2j3p,M5,m5pe,M
tch_L7_20240131-144641_41,context_class_L7_20240131-144641_41,43jo-kuaV,L7,l7pe,L
tch_L2_20240222-134031_127,class_L2_20240222-134031_127,eiQA-67uq,L2,l2pe,L
tch_L1_20240129-142710_11,class_L1_20240129-142710_11,4F7Z-M4FT,L1,l1pe,L
tch_H3_20240129-133344_93,class_H3_20240129-133344_93,DRUJ-Hxmj,H3,h3pe,H
tch_H3_20240207-120256_96,class_H3_20240207-120256_96,7tap-UAJu,H3,h3pe,H
tch_M5_20240129-133344_82,class_M5_20240129-133344_82,8NBw-e3zb,M5,m5pe,M
tch_L8_20240118-160029_16,class_L8_20240118-160029_16,n3Ju-9HT3,L8,l8pe,L
tch_L2_20240222-124507_18,class_L2_20240222-124507_18,EFVC-6ixT,L2,l2pe,L
tch_L8_20240129-133344_51,class_L8_20240129-133344_51,KipM-hkY9,L8,l8pe,L
tch_L7_20240129-105848_41,class_L7_20240129-105848_41,VCzA-7okC,L7,l7pe,L
tch_L7_20240131-144641_45,context_class_L7_20240131-144641_45,e2Gk-BCmx,L7,l7pe,L
tch_H6_20240207-120256_100,class_H6_20240207-120256_100,s6U9-DuBw,H6,h6pe,H
tch_M2_20240222-095725_172,class_M2_20240222-095725_172,Y36b-26NC,M2,m2pe,M
tch_M5_20240129-142710_81,class_M5_20240129-142710_81,t3ei-QRn9,M5,m5pe,M
tch_M3_20240222-124507_76,class_M3_20240222-124507_76,8636-JxR8,M3,m3pe,M
tch_H5_20240129-142710_99,class_H5_20240129-142710_99,pBj8-jux8,H5,h5pe,H
tch_L2_20240129-124448_25,class_L2_20240129-124448_25,bKg7-8a29,L2,l2pe,L
tch_L7_20240222-124507_41,class_L7_20240222-124507_41,6epH-MPc2,L7,l7pe,L
tch_H2_20240222-124507_190,class_H2_20240222-124507_190,AJqk-2HTj,H2,h2pe,H
tch_M1_20240129-082111_69,class_M1_20240129-082111_69,dA4N-E6JY,M1,m1pe,M
tch_L1_20240222-124507_5,class_L1_20240222-124507_5,PM9M-nT67,L1,l1pe,L
tch_H3_20240222-095725_194,class_H3_20240222-095725_194,6y82-UCW2,H3,h3pe,H
tch_L9_20240129-115448_66,class_L9_20240129-115448_66,BqWd-hszK,L9,l9pe,L
tch_H2_20240129-124448_90,class_H2_20240129-124448_90,u4Z8-Qn67,H2,h2pe,H
tch_L7_20240119-093415_11,class_L7_20240119-093415_11,AvC2-X834,L7,l7pe,L
tch_M3_20240129-115448_77,class_M3_20240129-115448_77,4Y9Y-9NU9,M3,m3pe,M
tch_M5_20240129-124448_84,class_M5_20240129-124448_84,W6Lo-4MLA,M5,m5pe,M
tch_L3_20240222-134031_29,class_L3_20240222-134031_29,bwc6-dpGa,L3,l3pe,L
tch_L2_20240129-142710_19,class_L2_20240129-142710_19,N9U7-cki4,L2,l2pe,L
tch_L2_20240129-133344_21,class_L2_20240129-133344_21,iMn9-Z83J,L2,l2pe,L
tch_H3_20240222-124507_96,class_H3_20240222-124507_96,hDmZ-9g3q,H3,h3pe,H
tch_L7_20240119-093415_9,class_L7_20240119-093415_9,V9K9-ec2B,L7,l7pe,L
tch_L2_20231229-151113_20,class_L2_20231229-151113_20,8GYg-2zAz,L2,l2pe,L
tch_L8_20240129-115448_56,class_L8_20240129-115448_56,8LD8-oq8j,L8,l8pe,L
tch_L8_20240304-175551_54,class_L8_20240304-175551_54,f76b-sJWj,L8,l8pe,L
tch_L3_20240222-134031_33,class_L3_20240222-134031_33,RkYi-9yLm,L3,l3pe,L
tch_L7_20240222-124507_138,class_L7_20240222-124507_138,CHjz-r6M4,L7,l7pe,L
tch_L9_20240117-181958_6,class_L9_20240117-181958_6,Zcnb-uZEr,L9,l9pe,L
tch_L7_20240222-124507_134,class_L7_20240222-124507_134,Jpqe-nkK2,L7,l7pe,L
tch_H3_20240222-124507_194,class_H3_20240222-124507_194,iWgc-7N78,H3,h3pe,H
tch_L1_20240222-095725_8,class_L1_20240222-095725_8,wb7Z-tXma,L1,l1pe,L
tch_L7_20240119-093415_44,class_L7_20240119-093415_44,nf42-RZvA,L7,l7pe,L
tch_L7_20240222-134031_43,class_L7_20240222-134031_43,pGpk-sTDR,L7,l7pe,L
tch_L8_20240129-093151_58,class_L8_20240129-093151_58,nX9M-o7v2,L8,l8pe,L
tch_L8_20240118-160029_43,class_L8_20240118-160029_43,Ys3e-irwe,L8,l8pe,L
tch_L3_20240222-095725_33,class_L3_20240222-095725_33,iTcT-r8C9,L3,l3pe,L
tch_L2_20240222-124507_16,class_L2_20240222-124507_16,VXZ6-irwF,L2,l2pe,L
tch_H1_20240129-133344_87,class_H1_20240129-133344_87,7dV8-38ZU,H1,h1pe,H
tch_L2_20240222-095725_118,class_L2_20240222-095725_118,879B-VLZo,L2,l2pe,L
tch_L2_20240129-093151_16,class_L2_20240129-093151_16,84GJ-zgkG,L2,l2pe,L
tch_L1_20240129-105848_9,class_L1_20240129-105848_9,A7oX-vM7h,L1,l1pe,L
tch_H3_20240222-095725_93,class_H3_20240222-095725_93,cve7-9YjF,H3,h3pe,H
tch_M2_20231229-151113_56,class_M2_20231229-151113_56,DArW-c6h4,M2,m2pe,M
tch_H2_20240129-105848_91,class_H2_20240129-105848_91,ViKC-GXK9,H2,h2pe,H
tch_M4_20231229-163209_70,class_M4_20231229-163209_70,pQ9T-cRid,M4,m4pe,M
tch_H1_20240222-134031_189,class_H1_20240222-134031_189,Pr28-JBzi,H1,h1pe,H
tch_L1_20240222-134031_9,class_L1_20240222-134031_9,qrb4-8Xmj,L1,l1pe,L
