teacherextuserid,classtitle,classcode,category,pe_category,category_type,assignment_count,assignment_category,cursor,classType
tch_L9_20240124-195937_61,class_L9_20240124-195937_61,g3eY-gr8R,L9,l9pe,L,10,A_Low,No_Cursor,normal
tch_L3_20240102-154640_24,class_L3_20240102-154640_24,BDVt-DtW9,L3,l3pe,L,9,A_Low,No_Cursor,normal
tch_L8_20240128-205614_49,class_L8_20240128-205614_49,spbZ-MTMH,L8,l8pe,L,9,A_Low,No_Cursor,normal
tch_L1_20240222-110512_1,class_L1_20240222-110512_1,akBK-6i4J,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_H5_20250922-224536_2,ltiClass_class_H5_20250922-224536_2,f87t-WtCM,H5,h5pe,H,150,A_High,High_Cursor,LTI
tch_L2_20250921-155445_1,ltiClass_class_L2_20250921-155445_1,Agw2-RzZr,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_L7_20240228-113644_137,class_L7_20240228-113644_137,eBad-8kY4,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_L7_20240222-110512_41,class_L7_20240222-110512_41,au9N-nL4b,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_L1_20240222-110512_9,class_L1_20240222-110512_9,nG4d-F7mJ,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_L8_20240128-142311_57,class_L8_20240128-142311_57,8daK-xH7V,L8,l8pe,L,9,A_Low,No_Cursor,normal
tch_L1_20240103-170558_3,class_L1_20240103-170558_3,A8H9-dGQ3,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_L7_20240128-195807_40,class_L7_20240128-195807_40,Em7v-Y2mi,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_L7_20240128-220541_42,class_L7_20240128-220541_42,kegX-spv7,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_L1_20240128-142311_7,class_L1_20240128-142311_7,GB8k-j2P3,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_L7_20240128-180332_39,class_L7_20240128-180332_39,mTZ2-J6fa,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_L3_20240128-180332_31,class_L3_20240128-180332_31,rCdy-KhpR,L3,l3pe,L,9,A_Low,No_Cursor,normal
tch_L7_20240228-113644_135,class_L7_20240228-113644_135,8htu-8BnY,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_M3_20250921-214456_17,ltiClass_class_M3_20250921-214456_17,84mG-8UZn,M3,m3pe,M,17,A_Med,No_Cursor,LTI
tch_L3_20240102-154640_30,class_L3_20240102-154640_30,qcJ2-zDPW,L3,l3pe,L,9,A_Low,No_Cursor,normal
tch_L1_20240128-205614_9,class_L1_20240128-205614_9,TeVD-fzKP,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_H4_20231229-183345_86,class_H4_20231229-183345_86,nf8T-R29D,H4,h4pe,H,198,A_High,High_Cursor,normal
tch_M5_20240222-143108_181,class_M5_20240222-143108_181,ekU7-FcRf,M5,m5pe,M,17,A_Med,No_Cursor,normal
tch_M2_20240305-102910_71,class_M2_20240305-102910_71,WL24-rDk8,M2,m2pe,M,15,A_Med,No_Cursor,normal
tch_H4_20240128-180332_97,class_H4_20240128-180332_97,6aU8-D3AY,H4,h4pe,H,198,A_High,High_Cursor,normal
tch_H1_20240128-142311_86,class_H1_20240128-142311_86,nGZa-7Crp,H1,h1pe,H,26,A_High,No_Cursor,normal
tch_H2_20240102-154640_79,class_H2_20240102-154640_79,2v9B-ow3c,H2,h2pe,H,32,A_High,No_Cursor,normal
tch_L3_20240128-195807_30,class_L3_20240128-195807_30,NJ8d-9fbq,L3,l3pe,L,9,A_Low,No_Cursor,normal
tch_L9_20240222-110512_64,class_L9_20240222-110512_64,xaUi-Pi2Q,L9,l9pe,L,10,A_Low,No_Cursor,normal
tch_M3_20250921-155445_43,ltiClass_class_M3_20250921-155445_43,phfc-tHu6,M3,m3pe,M,17,A_Med,No_Cursor,LTI
tch_M3_20250923-102342_30,ltiClass_class_M3_20250923-102342_30,8v2v-9v34,M3,m3pe,M,17,A_Med,No_Cursor,LTI
tch_L2_20250921-205619_5,ltiClass_class_L2_20250921-205619_5,M8BK-6hp6,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_L7_20240128-195807_47,class_L7_20240128-195807_47,L3g8-7NHe,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_M2_20240128-142311_71,class_M2_20240128-142311_71,3PdY-Py32,M2,m2pe,M,15,A_Med,No_Cursor,normal
tch_L3_20240128-142311_33,class_L3_20240128-142311_33,Nt3J-7T3B,L3,l3pe,L,9,A_Low,No_Cursor,normal
tch_L8_20240118-160029_52,class_L8_20240118-160029_52,CE9r-Emf4,L8,l8pe,L,9,A_Low,No_Cursor,normal
tch_H4_20240222-143108_97,class_H4_20240222-143108_97,4W6L-tVA6,H4,h4pe,H,198,A_High,High_Cursor,normal
tch_M5_20240128-142311_82,class_M5_20240128-142311_82,38d3-2M9u,M5,m5pe,M,17,A_Med,No_Cursor,normal
tch_L2_20250921-155445_22,ltiClass_class_L2_20250921-155445_22,Ps7P-CA82,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_L8_20240128-205614_50,class_L8_20240128-205614_50,s636-83b9,L8,l8pe,L,9,A_Low,No_Cursor,normal
tch_L1_20240222-110512_8,class_L1_20240222-110512_8,e8ke-VQgB,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_L9_20240222-110512_159,class_L9_20240222-110512_159,yRkL-827F,L9,l9pe,L,10,A_Low,No_Cursor,normal
tch_L2_20250919-180459_34,ltiClass_class_L2_20250919-180459_34,48p9-cKnB,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_H1_20240128-180332_85,class_H1_20240128-180332_85,P3h8-j7nb,H1,h1pe,H,26,A_High,No_Cursor,normal
tch_H2_20240228-113644_190,class_H2_20240228-113644_190,87CD-x7G3,H2,h2pe,H,32,A_High,No_Cursor,normal
tch_H4_20240222-110512_97,class_H4_20240222-110512_97,M8Mc-3M32,H4,h4pe,H,198,A_High,High_Cursor,normal
tch_L7_20240128-205614_36,class_L7_20240128-205614_36,Yr9V-LHuj,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_L2_20250923-102342_15,ltiClass_class_L2_20250923-102342_15,n9ZN-oRNe,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_H2_20240128-142311_91,class_H2_20240128-142311_91,CV68-hJsi,H2,h2pe,H,32,A_High,No_Cursor,normal
tch_H2_20240128-205614_90,class_H2_20240128-205614_90,LT3j-7Xsx,H2,h2pe,H,31,A_High,No_Cursor,normal
tch_L7_20240128-170457_39,class_L7_20240128-170457_39,t96L-bpGh,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_H1_20240128-130831_86,class_H1_20240128-130831_86,dHz3-G6Rz,H1,h1pe,H,26,A_High,No_Cursor,normal
tch_M3_20250923-102342_39,ltiClass_class_M3_20250923-102342_39,L9jr-46D3,M3,m3pe,M,17,A_Med,No_Cursor,LTI
tch_L7_20240119-093415_59,class_L7_20240119-093415_59,a4HQ-nUwH,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_L2_20250921-192554_9,ltiClass_class_L2_20250921-192554_9,aHZf-g7Ah,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_H2_20240102-192514_78,class_H2_20240102-192514_78,98q7-g6V9,H2,h2pe,H,32,A_High,No_Cursor,normal
tch_M2_20240222-143108_72,class_M2_20240222-143108_72,7QBJ-YnrL,M2,m2pe,M,15,A_Med,No_Cursor,normal
tch_L7_20240119-103128_4,class_L7_20240119-103128_4,7JFW-au2M,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_L2_20250921-155445_4,ltiClass_class_L2_20250921-155445_4,odUn-Y4by,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_L1_20240128-180332_4,class_L1_20240128-180332_4,PNq6-4Mm9,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_L1_20240128-170457_9,class_L1_20240128-170457_9,ULv7-2ay8,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_H2_20240222-143108_191,class_H2_20240222-143108_191,ayx8-9dQD,H2,h2pe,H,32,A_High,No_Cursor,normal
tch_M1_20231229-173128_55,class_M1_20231229-173128_55,7yZi-eAce,M1,m1pe,M,15,A_Med,No_Cursor,normal
tch_L8_20240118-160029_69,class_L8_20240118-160029_69,KdQx-phHq,L8,l8pe,L,9,A_Low,No_Cursor,normal
tch_L9_20240222-143108_68,class_L9_20240222-143108_68,EV7K-EJh6,L9,l9pe,L,10,A_Low,No_Cursor,normal
tch_L1_20240222-172411_112,class_L1_20240222-172411_112,7ekj-7JkP,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_M3_20250923-102342_28,ltiClass_class_M3_20250923-102342_28,9CU9-wL6Q,M3,m3pe,M,17,A_Med,No_Cursor,LTI
tch_L2_20250921-214456_1,ltiClass_class_L2_20250921-214456_1,e2b8-QomA,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_L3_20231229-173128_29,class_L3_20231229-173128_29,WVjf-32N4,L3,l3pe,L,9,A_Low,No_Cursor,normal
tch_L2_20250919-180459_15,ltiClass_class_L2_20250919-180459_15,9XxX-nf2Q,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_L2_20250923-102342_18,ltiClass_class_L2_20250923-102342_18,iT26-RyJC,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_L3_20231229-151113_25,class_L3_20231229-151113_25,s9u9-68j4,L3,l3pe,L,9,A_Low,No_Cursor,normal
tch_L7_20240128-205614_43,class_L7_20240128-205614_43,848H-7KV2,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_M3_20250921-155445_28,ltiClass_class_M3_20250921-155445_28,u7Nx-L4pG,M3,m3pe,M,17,A_Med,No_Cursor,LTI
tch_L8_20240118-160029_84,class_L8_20240118-160029_84,3mvL-kzM2,L8,l8pe,L,10,A_Low,No_Cursor,normal
tch_L7_20240128-142311_48,class_L7_20240128-142311_48,z932-oq6g,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_L9_20240228-113644_167,class_L9_20240228-113644_167,PfWV-ot93,L9,l9pe,L,10,A_Low,No_Cursor,normal
tch_L8_20240130-090904_55,class_L8_20240130-090904_55,2Hp8-E3Fh,L8,l8pe,L,9,A_Low,No_Cursor,normal
tch_L2_20250923-102342_7,ltiClass_class_L2_20250923-102342_7,ud64-c8tm,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_L2_20250923-102342_6,ltiClass_class_L2_20250923-102342_6,EqRz-fcAP,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_L3_20231229-173128_30,class_L3_20231229-173128_30,g4sF-X87J,L3,l3pe,L,9,A_Low,No_Cursor,normal
tch_M1_20240128-130831_69,class_M1_20240128-130831_69,fD4i-J72B,M1,m1pe,M,15,A_Med,No_Cursor,normal
tch_M3_20250921-155445_44,ltiClass_class_M3_20250921-155445_44,V8Am-sXc2,M3,m3pe,M,17,A_Med,No_Cursor,LTI
tch_L8_20240128-190832_49,class_L8_20240128-190832_49,rzPu-72tP,L8,l8pe,L,9,A_Low,No_Cursor,normal
tch_M3_20250923-102342_23,ltiClass_class_M3_20250923-102342_23,g3RC-PXKm,M3,m3pe,M,17,A_Med,No_Cursor,LTI
tch_M5_20240111-185155_10,class_M5_20240111-185155_10,qK3r-Vjh3,M5,m5pe,M,17,A_Med,No_Cursor,normal
tch_L2_20250921-205619_1,ltiClass_class_L2_20250921-205619_1,WG62-H6m8,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_L2_20250923-102342_16,ltiClass_class_L2_20250923-102342_16,P76Y-Cc8r,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_M5_20240128-205614_84,class_M5_20240128-205614_84,V8X6-NiWu,M5,m5pe,M,17,A_Med,No_Cursor,normal
tch_M5_20240128-195807_84,class_M5_20240128-195807_84,x9KA-847i,M5,m5pe,M,17,A_Med,No_Cursor,normal
tch_L1_20240222-143108_102,class_L1_20240222-143108_102,ZK9Z-ekM3,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_L9_20240228-113644_162,class_L9_20240228-113644_162,6jk4-WmGQ,L9,l9pe,L,10,A_Low,No_Cursor,normal
tch_L9_20240117-181958_64,class_L9_20240117-181958_64,WTif-pD6f,L9,l9pe,L,10,A_Low,No_Cursor,normal
tch_L7_20240222-172411_45,class_L7_20240222-172411_45,Fy68-Q4nZ,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_L7_20240222-172411_145,class_L7_20240222-172411_145,36LX-k467,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_H3_20231229-183345_82,class_H3_20231229-183345_82,nf47-GFG8,H3,h3pe,H,26,A_High,No_Cursor,normal
tch_M4_20231229-183345_69,class_M4_20231229-183345_69,oc8d-3YzQ,M4,m4pe,M,26,A_Med,No_Cursor,normal
tch_L7_20240124-195937_46,class_L7_20240124-195937_46,ohJj-42pn,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_M4_20240128-205614_79,class_M4_20240128-205614_79,2d8G-DBiJ,M4,m4pe,M,26,A_Med,No_Cursor,normal
tch_L1_20240128-205614_10,class_L1_20240128-205614_10,3gTa-dCYR,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_L9_20240130-090904_60,class_L9_20240130-090904_60,7jC8-md84,L9,l9pe,L,10,A_Low,No_Cursor,normal
tch_L2_20250921-155445_14,ltiClass_class_L2_20250921-155445_14,By42-wjgj,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_L2_20250921-205619_10,ltiClass_class_L2_20250921-205619_10,W2Qx-36y4,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_L2_20250921-205619_2,ltiClass_class_L2_20250921-205619_2,F8jV-NFnm,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_M3_20250923-102342_30,ltiClass_class_M3_20250923-102342_30,8v2v-9v34,M3,m3pe,M,17,A_Med,No_Cursor,LTI
tch_L7_20240128-205614_40,class_L7_20240128-205614_40,Qe9e-48jp,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_L8_20240118-160029_47,class_L8_20240118-160029_47,YJQf-3Jar,L8,l8pe,L,9,A_Low,No_Cursor,normal
tch_L1_20240128-205614_7,class_L1_20240128-205614_7,a2e2-p9xn,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_L7_20240119-093415_99,class_L7_20240119-093415_99,KF2k-3XHg,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_L8_20240118-160029_68,class_L8_20240118-160029_68,nJXy-rHiQ,L8,l8pe,L,9,A_Low,No_Cursor,normal
tch_M4_20231229-173128_70,class_M4_20231229-173128_70,7DAb-ij82,M4,m4pe,M,26,A_Med,No_Cursor,normal
tch_H2_20240128-220541_91,class_H2_20240128-220541_91,voTh-fb24,H2,h2pe,H,32,A_High,No_Cursor,normal
tch_L1_20240222-110512_105,class_L1_20240222-110512_105,g96j-DNTU,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_L7_20240119-093415_89,class_L7_20240119-093415_89,kMgu-Hnt4,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_L3_20240222-110512_133,class_L3_20240222-110512_133,4LMk-UpAF,L3,l3pe,L,9,A_Low,No_Cursor,normal
