stdextid,count,page,classcode
560c156e4c054f6891255326c5ddf07e,1,78,DTWo-Lb6H
std_1616493208993_6,1,78,6kg4-xgXa
std_1616493210500_7,1,78,zq2v-uw9o
std_1616493212005_8,1,78,C37r-uqvA
std_1616493213511_9,1,78,X979-DbQ2
std_1616493215016_10,1,78,6U2m-jLi7
std_1616493216522_11,1,78,m8Vy-oRf9
std_1616493218029_12,1,78,ZPY6-MD72
std_1616493219535_13,1,78,XHGL-26vk
std_1616493221041_14,1,78,8U7M-PQX7
std_1616493222547_15,1,78,N32y-Teic
std_1616493224052_16,1,78,8JcE-7cYc
std_1616493225558_17,1,78,n7VP-WXyT
std_1616493227064_18,1,78,qD83-vXWQ
std_1616493228571_19,1,78,s6F3-cjtj
std_1616493230077_20,1,78,X38f-JaX3
std_1616493231584_21,1,78,7HCB-KYwn
std_1616493233090_22,1,78,y3wy-2mT9
std_1616493234596_23,1,78,Y8p7-Y2p2
std_1616493236102_24,1,78,4nNZ-xnYt
std_1616493237609_25,1,78,wQ2h-BAa3
std_1616493239114_26,1,78,zCkQ-KR4o
6df0db024f784aaf9c01fa39450c998b,1,78,NA
std_1616493240621_27,1,78,N738-4Ny2
std_1616493242126_28,1,78,hKC4-Bgui
std_1616493243632_29,1,78,vAtn-8bZs
std_1616493245138_30,1,78,r8s8-4tw6
std_1616493246645_31,1,78,Nb2M-kpW9
std_1616493248152_32,1,78,Dyj8-2aNm
std_1616493249657_33,1,78,LCqU-Ty73
std_1616493251163_34,1,78,sghE-Hio2
std_1616493252670_35,1,78,M3Q4-6jm7
std_1616493254177_36,1,78,Qu2u-jFLk
std_1616493255683_37,1,78,z9xU-XHei
std_1616493257189_38,1,78,U6YD-2DEQ
std_1616493258695_39,1,78,AY79-7RN3
std_1616493260200_40,1,78,egPK-BiaX
std_1616493261707_41,1,78,jNs9-pT8G
std_1616493263214_42,1,78,Ese2-jq6E
std_1616493264719_43,1,78,VfXW-oEP7
std_1616493266226_44,1,78,jhK3-Bu2F
std_1616493267732_45,1,78,p6w2-B9po
std_1616493269237_46,1,78,H74U-GZqo
std_1616493270743_47,1,78,WrMA-hjqD
std_1616493272250_48,1,78,et7r-Z3AX
std_1616493273757_49,1,78,uJW3-86EM
std_1616493275262_50,1,78,dge8-9Qoh
std_1616493276770_51,1,78,3sNp-udQj
std_1616493278276_52,1,78,9g3A-rea2
std_1616493279783_53,1,78,nm7J-29b7
std_1616493281289_54,1,78,g74v-387V
std_1616493282796_55,1,78,b6ud-7P67
std_1616493284302_56,1,78,gGq9-J49E
std_1616493285808_57,1,78,DhVa-Wirt
std_1616493287314_58,1,78,9VmZ-j98X
std_1616493288819_59,1,78,gChk-rmpa
std_1616493290325_60,1,78,4v3h-VEyZ
std_1616493291832_61,1,78,pw8i-4yrm
std_1616493293340_62,1,78,iYRL-Q28g
std_1616493294846_63,1,78,jhvo-igd9
std_1616493296352_64,1,78,2qd7-nv6P
std_1616493297857_65,1,78,BJXJ-wBnr
std_1616493299363_66,1,78,962b-NLp9
std_1616493300869_67,1,78,4jnC-7sjD
std_1616493302376_68,1,78,4jVd-t7G8
std_1616493303881_69,1,78,mErm-M2C4
std_1616493305387_70,1,78,dgLp-zp6m
std_1616493306896_71,1,78,dZtG-pwJG
std_1616493308401_72,1,78,P46P-ARVa
std_1616493309906_73,1,78,droN-Cg6d
std_1616493311411_74,1,78,uCt6-Qdo3
std_1616493312917_75,1,78,G7T9-zbm8
std_1616493314424_76,1,78,VLUZ-4q6m
std_1616493315930_77,1,78,8ed6-4u4t
std_1616493317436_78,1,78,Zkwa-9JoT
std_1616493318942_79,1,78,th3B-4T8s
std_1616493320449_80,1,78,RvH7-xzom
std_1616493321955_81,1,78,ic7Q-Yazs
std_1616493323461_82,1,78,QLNo-Zzba
std_1616493324967_83,1,78,7E3R-ADaU
std_1616493326474_84,1,78,jige-4iwg
std_1616493327980_85,1,78,6Qbu-r7wU
