stdextid,groupid,tchextid
0cf459ba65ba44b7a65c280d3dcefa55,4d4d18ac-43d8-4dba-9a1c-8005c1296e2b,d67aab06f4144d0cbd29c85dc27fdc94
std_1593698543993_1,05c56952-1a37-446e-8c50-c7eb4bfbae80,tch_20200702-191603_1
std_1593698557488_2,d52e70d2-7460-491e-bc04-57d449b2bf8d,tch_20200702-191603_2
std_1593698412754_1,d0a1a198-b1e9-4426-b224-3d401ac494e8,tch_20200702-191603_1
std_1593698590559_3,32cd22dd-4cc4-41b0-93bd-aadd4bca6db8,tch_20200702-191603_3
std_1593698427131_2,b1264072-68cf-445e-9779-f42331902622,tch_20200702-191603_2
std_1593698460086_3,217eccfd-8e0d-4e43-a456-688066d9bfc3,tch_20200702-191603_3
std_1593698279912_1,dd2bdba8-a5fc-4422-8db7-e5c2ba1731d0,tch_20200702-191603_1
std_1593698288927_2,499d74aa-abda-4865-96a3-e0ed442f1a05,tch_20200702-191603_2
std_1593698634086_4,c2c904a5-dfa4-4880-a1b4-66883889cb3f,tch_20200702-191603_4
std_1593698142415_1,63ad6e8d-2e90-4c55-a3ed-532ea470cf7c,tch_20200702-191603_1
std_1593698331687_3,8ec977dc-a696-4aa3-9388-801049a7217c,tch_20200702-191603_3
std_1593698660220_5,603755bd-0f69-482f-bf42-40b3b584c378,tch_20200702-191603_5
std_1593698154891_2,be253c70-779c-450c-9b55-2da1c363e5b9,tch_20200702-191603_2
std_1593698506384_4,2a8d73da-d1af-48c4-9915-0ac604e536d9,tch_20200702-191603_4
std_1593698697799_6,3ee3bdfd-6747-4a4e-8ec6-bc71cc392303,tch_20200702-191603_6
std_1593698203732_3,299051b5-295f-41e0-a914-af3ec8120c21,tch_20200702-191603_3
std_1593698527066_5,a6746206-8f77-4208-a944-06091920ad54,tch_20200702-191603_5
std_1593698372698_4,1d4fe8bb-a02f-4a91-9729-05e941d7c539,tch_20200702-191603_4
std_1593698724371_8,befed1ca-2432-49a8-af12-fd2b359a1468,tch_20200702-191603_8
std_1593698562807_6,6613a94e-e0cc-4f07-8b2f-ddb07d605914,tch_20200702-191603_6
std_1593698735680_7,884867f3-070d-45ae-8d6b-adb5d0f91076,tch_20200702-191603_7
std_1593698391463_5,72d42293-f0d5-4a15-90ad-24edb44bc66a,tch_20200702-191603_5
std_1593698233869_4,cfd4d99e-02c3-4f62-aa38-272fe386ec48,tch_20200702-191603_4
std_1593698597037_8,141742a1-c014-4c3c-a706-53d4fa22671b,tch_20200702-191603_8
std_1593698596031_7,d0c84e3d-871e-4e7d-bd5d-8d5237472dbe,tch_20200702-191603_7
