stdextid,groupid,tchextid
std_1594140591996_1,51792094-d81b-4ba2-b429-6c125ac0aa41,tch_20200707-221253_1
std_1594140604796_2,eb93a9ac-bd8c-4c56-981a-18b8bc77705a,tch_20200707-221253_2
std_1594140628490_3,be83b3ed-617b-47b1-96c9-461937353f55,tch_20200707-221253_3
std_1594140477378_1,9e2c4656-aefd-40be-88cd-ce61ac907f7c,tch_20200707-221253_1
std_1594140493677_2,1b249bcf-9be7-497d-bbe1-19d76ec1741e,tch_20200707-221253_2
std_1594140644046_4,d0708f7a-0037-4055-a5ec-d22509a87213,tch_20200707-221253_4
std_1594140649448_5,d2b9ecf7-bd7b-40d2-a75c-588bf203f0bf,tch_20200707-221253_5
std_1594140669320_6,5c2e865a-9851-4eb1-bb75-0730a96c0f45,tch_20200707-221253_6
std_1594140514777_3,276283ba-790c-408c-a162-f6f601c49c44,tch_20200707-221253_3
std_1594140366158_1,d25fbaaf-a192-416c-bc12-606b51f2ab78,tch_20200707-221253_1
std_1594140380640_2,78a546ed-e649-4d54-be70-876664e999f2,tch_20200707-221253_2
std_1594140683638_7,6976bffa-615f-4506-a325-1cf4dd503ec5,tch_20200707-221253_7
std_1594140525908_4,a80c7ed9-e1d2-4748-aedc-758dc98247ba,tch_20200707-221253_4
std_1594140539754_5,06a2197e-ac84-422b-b8df-9995bdcbb797,tch_20200707-221253_5
std_1594140701808_8,26ef0134-29bc-4b58-b38e-4202b7bc549f,tch_20200707-221253_8
std_1594140557515_6,3937c161-bcfe-454c-9746-f7ec4845f005,tch_20200707-221253_6
std_1594140407867_3,6e717da2-32e9-4ad3-ae11-3caf9d5c889d,tch_20200707-221253_3
std_1594140255806_1,4647536d-7f48-42e5-bd5f-aa20d9b57a2f,tch_20200707-221253_1
std_1594140712561_9,492163f8-f61e-49cf-8928-235c6ef7f0cd,tch_20200707-221253_9
std_1594140715795_10,32d4b29e-1bf3-4fe7-ad08-0f641dfcf625,tch_20200707-221253_10
std_1594140727476_11,61fb0ccc-c4b8-4d7d-8fa8-d3ec4b5b5190,tch_20200707-221253_11
std_1594140266273_2,354ff1c8-9fab-4759-a61b-3b5dba3e419a,tch_20200707-221253_2
std_1594140406997_4,ad56ebd4-ac1f-497d-bf79-bd543d6eefc3,tch_20200707-221253_4
std_1594140426964_5,0f66b8ed-c987-4ebb-a789-09aea876ebfc,tch_20200707-221253_5
std_1594140569547_7,5e22c391-92ce-4feb-9c4c-8245ee4f6cea,tch_20200707-221253_7
std_1594140590932_8,7b92f276-9fd9-4773-b3b8-7316a8419104,tch_20200707-221253_8
std_1594140748790_12,9fdb8aa0-7eb3-4fd0-9e01-7f8d1b340897,tch_20200707-221253_12
std_1594140444191_6,f0da4fde-8d78-460e-8d8c-e3cbd5953dc1,tch_20200707-221253_6
std_1594140290219_3,659f031a-35dd-458d-b92b-36fefd4bf4da,tch_20200707-221253_3
std_1594140606974_10,a1454dde-be4b-4ccc-9603-46f6b299f3c3,tch_20200707-221253_10
std_1594140599084_9,1d908536-cc76-4f6e-aaa9-d93d645f62b1,tch_20200707-221253_9
std_1594140623147_11,a8ef7c93-5c37-4c17-8e59-f140fca5ee0b,tch_20200707-221253_11
std_1594140298797_4,cae4dfef-b866-4484-919d-c39f02e21b55,tch_20200707-221253_4
std_1594140773981_13,117a3db5-b770-4bd3-8d33-04c8534a67ed,tch_20200707-221253_13
std_1594140312166_5,461ee208-ef70-4b7a-be06-2d15e8d5a596,tch_20200707-221253_5
std_1594140457442_7,5793040c-64d7-4f9b-9375-209a3603da90,tch_20200707-221253_7
std_1594140784112_14,9bf96bc9-0724-400e-8069-10186d948b47,tch_20200707-221253_14
std_1594140476345_8,9e327560-91e0-4779-9055-ac87513c9762,tch_20200707-221253_8
std_1594140640948_12,2bbafb72-551c-4e35-9a02-8d55b5d1ad9c,tch_20200707-221253_12
std_1594140332916_6,c0c856e2-99a3-45ec-859f-a025aa53e9e4,tch_20200707-221253_6
std_1594140807094_15,fe739c66-b336-46c7-854a-e2c72021742c,tch_20200707-221253_15
std_1594140484710_9,b9d3b489-b986-4f68-970d-b70eed89f881,tch_20200707-221253_9
std_1594140496816_10,22d4a1a1-4c5a-423f-bfe8-c60366918608,tch_20200707-221253_10
std_1594140513345_11,70264a85-6dc0-493c-9141-ab00e28ef7c5,tch_20200707-221253_11
