extuserid_admin,classid,category,classcode,category,classid,pe_category,category_type
8578a759092a4361a6db71da58d1d909,tch_L2_20240204-094925_23,class_L2_20240204-094925_23,BZ3A-zscb,L2,ce5800ff-83c1-4c22-be21-484ef6ade2d0,l2pe,L
8578a759092a4361a6db71da58d1d909,tch_L8_20240201-195548_50,class_L8_20240201-195548_50,jXHv-YLUx,L8,098bf51b-0b31-4bba-8d6e-e2c97b1ef33a,l8pe,L
8578a759092a4361a6db71da58d1d909,tch_M2_20240203-221632_73,class_M2_20240203-221632_73,C9f6-HiRL,M2,c7effaaf-2f41-4f7f-8241-90327a546437,m2pe,M
8578a759092a4361a6db71da58d1d909,tch_L6_20231229-163209_42,class_L6_20231229-163209_42,yz4i-JvPX,L6,113047c0-f0ce-4550-8e92-1ec707ab8c13,l6pe,L
8578a759092a4361a6db71da58d1d909,tch_L2_20240202-080047_17,class_L2_20240202-080047_17,4EV4-ADHw,L2,d3fd5e40-8795-4858-b70f-7addf07c290f,l2pe,L
8578a759092a4361a6db71da58d1d909,tch_L2_20240201-195548_19,class_L2_20240201-195548_19,n9X2-z8L7,L2,4d4518cf-f38f-4282-9a37-187be3b86db8,l2pe,L
8578a759092a4361a6db71da58d1d909,tch_L6_20240102-154640_42,class_L6_20240102-154640_42,MTUk-g4Cy,L6,74fe8295-2338-4179-b145-941e1fbac6ea,l6pe,L
8578a759092a4361a6db71da58d1d909,tch_L1_20240203-211926_7,class_L1_20240203-211926_7,cY23-nhdP,L1,bf1adb5a-2299-4076-ba6d-3f72b8545bee,l1pe,L
8578a759092a4361a6db71da58d1d909,tch_L8_20240202-080047_56,class_L8_20240202-080047_56,hFVa-cZmT,L8,2e83bbdf-53e7-4c00-8ef1-8fbbec7f08c7,l8pe,L
8578a759092a4361a6db71da58d1d909,tch_M5_20240204-094925_81,class_M5_20240204-094925_81,nDaN-uw8g,M5,b6fe90ac-8457-4be8-a5f7-5e25ecbbc38d,m5pe,M
8578a759092a4361a6db71da58d1d909,tch_L3_20240201-195548_33,class_L3_20240201-195548_33,wQhv-E8J2,L3,9902cf37-dab2-4e12-8ab5-51331318d81f,l3pe,L
8578a759092a4361a6db71da58d1d909,tch_H2_20240204-175427_91,class_H2_20240204-175427_91,6Aft-Zvs9,H2,a47f9352-c3b6-4443-a40f-2a106cdd7b6e,h2pe,H
8578a759092a4361a6db71da58d1d909,tch_H1_20240201-195548_87,class_H1_20240201-195548_87,MA74-nEjA,H1,22bcebe4-f9fd-42a6-a115-c53e5cdb377a,h1pe,H
8578a759092a4361a6db71da58d1d909,tch_M3_20240203-211926_78,class_M3_20240203-211926_78,bW6D-wWxE,M3,37a4fda1-e59c-4f74-a133-3405eb8cb1f2,m3pe,M
8578a759092a4361a6db71da58d1d909,tch_L7_20240203-221632_43,class_L7_20240203-221632_43,9d6b-92MV,L7,51f1f813-7577-4ab0-a3d3-15217f892ae7,l7pe,L
8578a759092a4361a6db71da58d1d909,tch_L3_20240204-094925_31,class_L3_20240204-094925_31,Ff8c-s2XJ,L3,29b09df5-b79d-4d35-94d0-18d81fde7acd,l3pe,L
8578a759092a4361a6db71da58d1d909,tch_L3_20240203-211926_29,class_L3_20240203-211926_29,4mb8-iR3V,L3,7d1bfb56-3721-4472-8063-cd5217caf828,l3pe,L
8578a759092a4361a6db71da58d1d909,tch_L8_20240204-175427_53,class_L8_20240204-175427_53,c636-KVYh,L8,b898ad5a-18dd-457a-b440-eb2fab564663,l8pe,L
8578a759092a4361a6db71da58d1d909,tch_M3_20240203-211926_75,class_M3_20240203-211926_75,gCXs-k8bm,M3,69358fa1-6aa4-467d-8c5e-265920223338,m3pe,M
8578a759092a4361a6db71da58d1d909,tch_L9_20240203-221632_66,class_L9_20240203-221632_66,G6Pa-Um4Z,L9,d65c6e74-0aff-4ae3-90a1-40517984eeb6,l9pe,L
8578a759092a4361a6db71da58d1d909,tch_L9_20240204-094925_63,class_L9_20240204-094925_63,34fv-Aj7B,L9,b6f5b75f-c0ae-48bd-92ee-8c7d034b74d9,l9pe,L
8578a759092a4361a6db71da58d1d909,tch_H6_20240204-175427_100,class_H6_20240204-175427_100,kE4m-hzoE,H6,c7ce4636-7092-41c8-8b8e-7875d4db58ca,h6pe,H
8578a759092a4361a6db71da58d1d909,tch_L4_20231229-151113_32,class_L4_20231229-151113_32,9K4J-7FYc,L4,3937f22a-eabd-43a7-aedb-685e485b67b9,l4pe,L
8578a759092a4361a6db71da58d1d909,tch_L7_20240204-094925_36,class_L7_20240204-094925_36,q73C-6c9E,L7,89515922-d62f-4c90-ba32-287c1d796574,l7pe,L
8578a759092a4361a6db71da58d1d909,tch_H2_20240204-064649_90,class_H2_20240204-064649_90,X4s7-8ZLq,H2,84a4f6de-def8-497e-91c9-0fb09c2ceb5c,h2pe,H
8578a759092a4361a6db71da58d1d909,tch_H3_20240204-064649_95,class_H3_20240204-064649_95,Z7FC-Pja8,H3,578bca25-9eab-4840-ac26-c7988d239e36,h3pe,H
8578a759092a4361a6db71da58d1d909,tch_L2_20240203-211926_27,class_L2_20240203-211926_27,9pF4-xMcf,L2,02aa33d4-c730-4c20-a56a-25db96d601f0,l2pe,L
8578a759092a4361a6db71da58d1d909,tch_L8_20240203-211926_54,class_L8_20240203-211926_54,T3en-cmWC,L8,1716cd71-aa98-4a04-98df-7d231bb2bdee,l8pe,L
8578a759092a4361a6db71da58d1d909,tch_L8_20240201-195548_55,class_L8_20240201-195548_55,oziv-QRsB,L8,e6ca04da-a4fb-4f21-bcf6-9603cd7aea05,l8pe,L
8578a759092a4361a6db71da58d1d909,tch_L5_20240102-154640_39,class_L5_20240102-154640_39,U6mn-zt64,L5,0993f281-457f-4674-b258-fead8f7757f6,l5pe,L
8578a759092a4361a6db71da58d1d909,tch_H3_20240203-211926_96,class_H3_20240203-211926_96,jF4X-9wiX,H3,d0996278-e1aa-4b45-8a71-e0c7a3490b4f,h3pe,H
8578a759092a4361a6db71da58d1d909,tch_M3_20240204-064649_76,class_M3_20240204-064649_76,enX3-42QR,M3,cbcad96b-5598-4ce5-9fc0-cacd8be6485c,m3pe,M
8578a759092a4361a6db71da58d1d909,tch_M3_20240201-195548_74,class_M3_20240201-195548_74,836h-7muQ,M3,67134943-ba5f-4e14-9d0f-af4e729ba701,m3pe,M
8578a759092a4361a6db71da58d1d909,tch_L1_20240203-211926_11,class_L1_20240203-211926_11,63GX-DcD4,L1,2d757adc-05b5-4d5c-8b68-21f078fe9bdc,l1pe,L
8578a759092a4361a6db71da58d1d909,tch_L7_20240201-195548_36,class_L7_20240201-195548_36,tvJd-6Rb7,L7,1bde3136-cfb4-400d-adca-2337ae32454f,l7pe,L
8578a759092a4361a6db71da58d1d909,tch_L7_20240203-211926_36,class_L7_20240203-211926_36,i23w-69Pe,L7,036654a5-0f22-41da-ba53-d03ef3a7790e,l7pe,L
8578a759092a4361a6db71da58d1d909,tch_L4_20231229-163209_31,class_L4_20231229-163209_31,XN39-48jP,L4,b85bd366-83fd-473a-9db3-b56fe6d250ad,l4pe,L
8578a759092a4361a6db71da58d1d909,tch_L2_20240202-080047_26,class_L2_20240202-080047_26,9Pfm-zUz4,L2,d2afcf3b-f0fc-4f5f-b9e1-b08a9eaf22fa,l2pe,L
8578a759092a4361a6db71da58d1d909,tch_L6_20231229-173128_45,class_L6_20231229-173128_45,FRaP-ojMd,L6,f7acc20f-1756-4220-9a3b-16cb44b143b4,l6pe,L
8578a759092a4361a6db71da58d1d909,tch_L1_20240201-195548_15,class_L1_20240201-195548_15,nQfx-fk86,L1,7697ed9d-319b-46e1-a72c-e9fe6e97cdac,l1pe,L
8578a759092a4361a6db71da58d1d909,tch_L8_20240202-080047_52,class_L8_20240202-080047_52,TH3F-Kth9,L8,9f437c59-97e6-4acc-a0b0-59499dea4585,l8pe,L
8578a759092a4361a6db71da58d1d909,tch_M4_20240203-211926_79,class_M4_20240203-211926_79,qheh-a6XG,M4,1dff5917-3883-4337-ae2e-fd5c12e85979,m4pe,M
8578a759092a4361a6db71da58d1d909,tch_M4_20240204-175427_80,class_M4_20240204-175427_80,n2Hh-JKQy,M4,a0145347-3d6a-446a-a254-cdcd28fa1515,m4pe,M
8578a759092a4361a6db71da58d1d909,tch_L7_20240203-211926_41,class_L7_20240203-211926_41,tE26-9iqZ,L7,96e60319-55c7-4bbc-b4f9-5db37724edbd,l7pe,L
8578a759092a4361a6db71da58d1d909,tch_L6_20231229-173128_43,class_L6_20231229-173128_43,RCyb-a2z8,L6,20af6ec5-083b-447e-ad0c-316dd7efc9d1,l6pe,L
8578a759092a4361a6db71da58d1d909,tch_L9_20240202-080047_68,class_L9_20240202-080047_68,tPxT-xfH8,L9,ce0a5f8f-0437-4671-9fb0-a26d2b3f74f8,l9pe,L
8578a759092a4361a6db71da58d1d909,tch_M3_20240201-195548_76,class_M3_20240201-195548_76,h2RK-PZqj,M3,28a0def2-befc-4390-818d-eb8d191a4ad9,m3pe,M
8578a759092a4361a6db71da58d1d909,tch_M1_20240201-195548_69,class_M1_20240201-195548_69,MVMt-2Kg6,M1,05bfef05-9a1a-430c-bac3-7f2741d42d20,m1pe,M
8578a759092a4361a6db71da58d1d909,tch_L7_20240204-064649_37,class_L7_20240204-064649_37,DEqf-NPw9,L7,ce6f35bd-dd1b-4912-bf08-1646a2a89cff,l7pe,L
8578a759092a4361a6db71da58d1d909,tch_H3_20240202-080047_93,class_H3_20240202-080047_93,HXGZ-RLjy,H3,388753ca-b3f6-41ac-88f4-c2341036600c,h3pe,H
8578a759092a4361a6db71da58d1d909,tch_M2_20240204-094925_72,class_M2_20240204-094925_72,DPJ9-UixK,M2,7a09f4fc-7f5b-46b1-b56d-3ceaee93fb2e,m2pe,M
8578a759092a4361a6db71da58d1d909,tch_L8_20240204-064649_53,class_L8_20240204-064649_53,6EhY-48Wr,L8,e94a3d89-6da4-4cf1-9272-7b16ee31356b,l8pe,L
