std,cc
std_1589183348991_1446,AbGf-TA3E
std_1589183751609_1646,AbGf-TA3E
std_1589184154484_1846,AbGf-TA3E
std_1589180466980_13,AF2X-H6tu
std_1589180868161_213,AF2X-H6tu
std_1589181270285_413,AF2X-H6tu
std_1589181672539_613,AF2X-H6tu
std_1589182074916_813,AF2X-H6tu
std_1589182477678_1013,AF2X-H6tu
std_1589182880110_1213,AF2X-H6tu
std_1589183282578_1413,AF2X-H6tu
std_1589183685216_1613,AF2X-H6tu
std_1589184087596_1813,AF2X-H6tu
std_1589180547207_53,Ah4d-46NY
std_1589180948553_253,Ah4d-46NY
std_1589181350724_453,Ah4d-46NY
std_1589181752985_653,Ah4d-46NY
std_1589182155342_853,Ah4d-46NY
std_1589182558140_1053,Ah4d-46NY
std_1589182960528_1253,Ah4d-46NY
std_1589183363081_1453,Ah4d-46NY
std_1589183765706_1653,Ah4d-46NY
std_1589184168720_1853,Ah4d-46NY
std_1589180563247_61,Arnq-xN6q
std_1589180964633_261,Arnq-xN6q
std_1589181366823_461,Arnq-xN6q
std_1589181769070_661,Arnq-xN6q
std_1589182171429_861,Arnq-xN6q
std_1589182574264_1061,Arnq-xN6q
std_1589182976614_1261,Arnq-xN6q
std_1589183379178_1461,Arnq-xN6q
std_1589183781803_1661,Arnq-xN6q
std_1589184184837_1861,Arnq-xN6q
std_1589180454946_7,aZFh-PtJM
std_1589180856123_207,aZFh-PtJM
std_1589181258227_407,aZFh-PtJM
std_1589181660480_607,aZFh-PtJM
std_1589182062843_807,aZFh-PtJM
std_1589182465537_1007,aZFh-PtJM
std_1589182868049_1207,aZFh-PtJM
std_1589183270493_1407,aZFh-PtJM
std_1589184075532_1807,aZFh-PtJM
std_1589173654267_1913,B7MT-9mg9
std_1589180667536_113,B7MT-9mg9
std_1589181069210_313,B7MT-9mg9
std_1589181471460_513,B7MT-9mg9
std_1589181873650_713,B7MT-9mg9
std_1589182276282_913,B7MT-9mg9
std_1589182678830_1113,B7MT-9mg9
std_1589183081299_1313,B7MT-9mg9
std_1589183483906_1513,B7MT-9mg9
std_1589183886461_1713,B7MT-9mg9
std_1589184289487_1913,B7MT-9mg9
std_1589173692365_1932,B7t4-x9Yp
std_1589180705654_132,B7t4-x9Yp
std_1589181107413_332,B7t4-x9Yp
std_1589181509691_532,B7t4-x9Yp
std_1589182314597_932,B7t4-x9Yp
std_1589182717055_1132,B7t4-x9Yp
std_1589183119564_1332,B7t4-x9Yp
std_1589183522132_1532,B7t4-x9Yp
std_1589183924656_1732,B7t4-x9Yp
std_1589173680330_1926,b86Q-39qN
std_1589180693615_126,b86Q-39qN
std_1589181497618_526,b86Q-39qN
std_1589181899794_726,b86Q-39qN
std_1589182704979_1126,b86Q-39qN
std_1589183107484_1326,b86Q-39qN
std_1589183510067_1526,b86Q-39qN
std_1589183912598_1726,b86Q-39qN
std_1589173726461_1949,bARd-gRsR
std_1589180739762_149,bARd-gRsR
std_1589181141601_349,bARd-gRsR
std_1589181543883_549,bARd-gRsR
std_1589181946237_749,bARd-gRsR
std_1589182348790_949,bARd-gRsR
std_1589182751243_1149,bARd-gRsR
std_1589183153737_1349,bARd-gRsR
std_1589183556415_1549,bARd-gRsR
std_1589183958851_1749,bARd-gRsR
std_1589184361926_1949,bARd-gRsR
std_1589173756533_1964,bC2v-enR3
std_1589180769846_164,bC2v-enR3
std_1589181171755_364,bC2v-enR3
std_1589181574046_564,bC2v-enR3
std_1589181976389_764,bC2v-enR3
std_1589182378988_964,bC2v-enR3
std_1589182781483_1164,bC2v-enR3
std_1589183183907_1364,bC2v-enR3
std_1589183586612_1564,bC2v-enR3
std_1589183989023_1764,bC2v-enR3
std_1589184392104_1964,bC2v-enR3
std_1589173682335_1927,BHpG-R73R
std_1589180695614_127,BHpG-R73R
std_1589181097365_327,BHpG-R73R
std_1589181499635_527,BHpG-R73R
std_1589181901807_727,BHpG-R73R
std_1589182304443_927,BHpG-R73R
std_1589182706996_1127,BHpG-R73R
std_1589183109500_1327,BHpG-R73R
std_1589183512078_1527,BHpG-R73R
std_1589183914608_1727,BHpG-R73R
std_1589184317648_1927,BHpG-R73R
std_1589180456950_8,bk7R-mHTc
std_1589180858130_208,bk7R-mHTc
std_1589181260236_408,bk7R-mHTc
std_1589181662489_608,bk7R-mHTc
std_1589182064856_808,bk7R-mHTc
std_1589182467550_1008,bk7R-mHTc
std_1589182870060_1208,bk7R-mHTc
std_1589183272506_1408,bk7R-mHTc
std_1589183675168_1608,bk7R-mHTc
std_1589184077544_1808,bk7R-mHTc
std_1589173632216_1902,BnmB-DECL
std_1589180645474_102,BnmB-DECL
std_1589181047095_302,BnmB-DECL
std_1589181449321_502,BnmB-DECL
std_1589181851538_702,BnmB-DECL
std_1589182254161_902,BnmB-DECL
std_1589182656699_1102,BnmB-DECL
std_1589183059177_1302,BnmB-DECL
std_1589183461761_1502,BnmB-DECL
std_1589183864343_1702,BnmB-DECL
std_1589184267331_1902,BnmB-DECL
std_1589173690354_1931,bwXZ-3w3Q
std_1589180703650_131,bwXZ-3w3Q
std_1589181105414_331,bwXZ-3w3Q
std_1589181507670_531,bwXZ-3w3Q
std_1589181909851_731,bwXZ-3w3Q
std_1589182312578_931,bwXZ-3w3Q
std_1589182715043_1131,bwXZ-3w3Q
std_1589183117549_1331,bwXZ-3w3Q
std_1589183520121_1531,bwXZ-3w3Q
std_1589183922650_1731,bwXZ-3w3Q
std_1589184325692_1931,bwXZ-3w3Q
std_1589173702400_1937,C2s4-2wq6
std_1589180715677_137,C2s4-2wq6
std_1589181117478_337,C2s4-2wq6
std_1589181519744_537,C2s4-2wq6
std_1589181921910_737,C2s4-2wq6
std_1589182324648_937,C2s4-2wq6
std_1589182727107_1137,C2s4-2wq6
