extuserid,classcode,category,pe_category,pe_end_index,attempt_end_index,category_type
std_Y38A-GPw2_1706446983560_54,Y38A-GPw2,L8,l8pe,1,4,L
std_4Biu-LDxw_1703845074111_60,4Biu-LDxw,M2,m2pe,1,4,M
std_2742-JWhR_1705575055811_19,2742-JWhR,L8,l8pe,1,4,L
std_p87n-F3r8_1706442576604_1,p87n-F3r8,L1,l1pe,1,3,L
std_aMd2-v389_1703844075125_21,aMd2-v389,L3,l3pe,1,4,L
std_ndrL-ti3R_1706447208226_62,ndrL-ti3R,L9,l9pe,1,3,L
std_Vdyi-wKW8_1706443178002_27,Vdyi-wKW8,L2,l2pe,1,4,L
std_F62f-4w63_1706446304632_14,F62f-4w63,L1,l1pe,1,3,L
std_24gx-rp27_1705638417929_27,24gx-rp27,L7,l7pe,1,3,L
std_28XL-hmoT_1705639717602_91,28XL-hmoT,L7,l7pe,1,3,L
std_yj7A-NjaM_1706447355436_73,yj7A-NjaM,M2,m2pe,1,4,M
std_r4Rc-gjX9_1706446402722_19,r4Rc-gjX9,L2,l2pe,1,4,L
std_24gx-rp27_1705638396384_27,24gx-rp27,L7,l7pe,1,3,L
std_4L7w-v9U8_1706447538764_84,4L7w-v9U8,M5,m5pe,1,4,M
std_3Jm2-o47v_1705638516392_31,3Jm2-o47v,L7,l7pe,1,3,L
std_dH9j-Cx3m_1703845507342_76,dH9j-Cx3m,H2,h2pe,1,4,H
std_6aU8-D3AY_1706447966224_97,6aU8-D3AY,H4,h4pe,1,4,H
std_JLEV-u7fY_1706442763266_11,JLEV-u7fY,L1,l1pe,1,3,L
std_p87n-F3r8_1706442531515_1,p87n-F3r8,L1,l1pe,1,3,L
std_ensf-zyfF_1706443186353_29,ensf-zyfF,L3,l3pe,1,4,L
441be544e6834ce39609b8ce56a45a22,r4Rc-gjX9,L2,l2pe,1,4,L
0bf9fb0f3fdd468ba5f802206f1b6212,4Biu-LDxw,M2,m2pe,1,4,M
3192002b5da6409892c8047c930eb633,Y7t8-c6Q6,H2,h2pe,1,4,H
std_4FT9-pso7_1706446870770_44,4FT9-pso7,L7,l7pe,1,3,L
std_4L7g-EHY7_1703845308937_64,4L7g-EHY7,M3,m3pe,1,4,M
std_23WK-26jL_1704981197064_49,23WK-26jL,M5,m5pe,1,4,M
std_erz9-2eCP_1706446246218_8,erz9-2eCP,L1,l1pe,1,3,L
std_6gMc-9h4J_1705637935971_4,6gMc-9h4J,L7,l7pe,1,3,L
std_2ujr-E2ou_1705498684416_100,2ujr-E2ou,L9,l9pe,1,3,L
std_Qveg-9b3B_1706446704180_36,Qveg-9b3B,L7,l7pe,1,3,L
std_QGsK-97N3_1706444553200_78,QGsK-97N3,M3,m3pe,1,4,M
std_8Aqc-8dAu_1703843575144_5,8Aqc-8dAu,L1,l1pe,1,3,L
std_2QVq-Q2KG_1703843470644_2,2QVq-Q2KG,L1,l1pe,1,3,L
std_6VDA-X7PT_1706447699634_83,6VDA-X7PT,M5,m5pe,1,4,M
std_v7xQ-V3Hr_1706443830258_54,v7xQ-V3Hr,L8,l8pe,1,4,L
std_uN8r-EFqz_1706447780765_81,uN8r-EFqz,M5,m5pe,1,4,M
std_2KxC-zCp6_1706447771597_88,2KxC-zCp6,H1,h1pe,1,4,H
std_4Biu-LDxw_1703845053452_60,4Biu-LDxw,M2,m2pe,1,4,M
std_DTs8-TRua_1706447691250_82,DTs8-TRua,M5,m5pe,1,4,M
std_36Wm-t4im_1703845767072_86,36Wm-t4im,H4,h4pe,1,4,H
std_ZJce-YJsf_1706446089859_3,ZJce-YJsf,L1,l1pe,1,3,L
std_372s-9PT8_1703843640248_6,372s-9PT8,L1,l1pe,1,3,L
std_zgxq-voU9_1706443094660_23,zgxq-voU9,L2,l2pe,1,4,L
std_6aU8-D3AY_1706447796560_97,6aU8-D3AY,H4,h4pe,1,4,H
std_27Wm-rp8C_1706444136974_65,27Wm-rp8C,L9,l9pe,1,3,L
std_4L7w-v9U8_1706447814912_84,4L7w-v9U8,M5,m5pe,1,4,M
std_2QVq-Q2KG_1703843502449_2,2QVq-Q2KG,L1,l1pe,1,3,L
std_MZax-Cpb8_1706443355006_34,MZax-Cpb8,L7,l7pe,1,3,L
std_2vnJ-K3gw_1705498890163_113,2vnJ-K3gw,L9,l9pe,1,3,L
std_8aUB-Ar8A_1706444160362_67,8aUB-Ar8A,L9,l9pe,1,3,L
std_d674-h3vX_1706446124052_2,d674-h3vX,L1,l1pe,1,3,L
std_4rb6-b6a3_1705639829680_98,4rb6-b6a3,L7,l7pe,1,3,L
std_mzPV-ir9r_1706443864473_55,mzPV-ir9r,L8,l8pe,1,4,L
std_3764-JPy3_1703845770847_84,3764-JPy3,H3,h3pe,1,4,H
std_P3h8-j7nb_1706447562136_85,P3h8-j7nb,H1,h1pe,1,4,H
std_exLt-M4yu_1706446516585_26,exLt-M4yu,L2,l2pe,1,4,L
std_gBbK-C3cz_1706443147627_24,gBbK-C3cz,L2,l2pe,1,4,L
std_LUf6-3Fw2_1706443975143_60,LUf6-3Fw2,L9,l9pe,1,3,L
std_4cNz-r8gc_1706446288176_13,4cNz-r8gc,L1,l1pe,1,3,L
std_3Zis-HjUj_1706447853524_94,3Zis-HjUj,H3,h3pe,1,4,H
std_LUf6-3Fw2_1706443984001_60,LUf6-3Fw2,L9,l9pe,1,3,L
std_24gx-rp27_1705638414213_27,24gx-rp27,L7,l7pe,1,3,L
std_ndrL-ti3R_1706447180323_62,ndrL-ti3R,L9,l9pe,1,3,L
std_2rgG-pECK_1703843585823_4,2rgG-pECK,L1,l1pe,1,3,L
std_uTkm-23q9_1706447032500_56,uTkm-23q9,L8,l8pe,1,4,L
std_nVEF-f83e_1706446066449_1,nVEF-f83e,L1,l1pe,1,3,L
std_2Fh6-8e2s_1706443333713_33,2Fh6-8e2s,L3,l3pe,1,4,L
std_9Mec-ZDQr_1706444004279_62,9Mec-ZDQr,L9,l9pe,1,3,L
std_edWZ-c3jX_1706444083076_64,edWZ-c3jX,L9,l9pe,1,3,L
std_8GYg-2zAz_1703844040308_20,8GYg-2zAz,L2,l2pe,1,4,L
std_uN8r-EFqz_1706447712519_81,uN8r-EFqz,M5,m5pe,1,4,M
std_36mn-8nw6_1705499031280_120,36mn-8nw6,L9,l9pe,1,3,L
std_dfV3-RJ42_1703845451119_71,dfV3-RJ42,H1,h1pe,1,4,H
std_7j6H-JMwP_1706446922959_49,7j6H-JMwP,L8,l8pe,1,4,L
std_Koap-N2uG_1703843970321_19,Koap-N2uG,L2,l2pe,1,4,L
std_CMgk-rpPv_1706447737887_90,CMgk-rpPv,H2,h2pe,1,4,H
std_HBLP-XGr2_1706443899759_56,HBLP-XGr2,L8,l8pe,1,4,L
std_uTkm-23q9_1706447064129_56,uTkm-23q9,L8,l8pe,1,4,L
std_63Y3-8vQw_1706446681895_32,63Y3-8vQw,L3,l3pe,1,4,L
std_iePF-8YDC_1706444504940_84,iePF-8YDC,M5,m5pe,1,4,M
std_tdNE-X3Xw_1706447869594_96,tdNE-X3Xw,H3,h3pe,1,4,H
std_edWZ-c3jX_1706444107188_64,edWZ-c3jX,L9,l9pe,1,3,L
std_9Ctu-s4kV_1706448028307_98,9Ctu-s4kV,H5,h5pe,1,4,H
