student,classcode
perf_prod_std_00001,96Vg-F7F8
perf_prod_std_00002,6Ui6-KibG
perf_prod_std_00003,Vd8R-d6ac
perf_prod_std_00004,ca3e-9BZf
perf_prod_std_00005,49fG-f9d8
perf_prod_std_00006,eChi-26Ad
perf_prod_std_00007,3b6j-7gcM
perf_prod_std_00008,jKa2-bgVb
perf_prod_std_00009,8cj2-62D2
perf_prod_std_00010,8R4b-gcGj
perf_prod_std_00011,9Ted-3Y9g
perf_prod_std_00012,68bU-4cR8
perf_prod_std_00013,4NE6-di79
perf_prod_std_00014,64fa-NFh4
perf_prod_std_00015,ebdi-h8P9
perf_prod_std_00016,gajc-Q3ej
perf_prod_std_00017,B83Z-6L6c
perf_prod_std_00018,L4Ti-3aUe
perf_prod_std_00019,2BhC-374A
perf_prod_std_00020,TQ8g-4Hh8
perf_prod_std_00021,RiFb-8Rh4
perf_prod_std_00022,HV64-fgFc
perf_prod_std_00023,dbhe-gPfi
perf_prod_std_00024,aHgD-i7aj
perf_prod_std_00025,bZ2M-f6Ae
perf_prod_std_00026,c274-dEG2
perf_prod_std_00027,8Ud4-GgVE
perf_prod_std_00028,6fa6-Fcaj
perf_prod_std_00029,3Bh2-eJeg
perf_prod_std_00030,ji2Q-X3a4
perf_prod_std_00031,haLP-iPb9
perf_prod_std_00032,T46C-j63d
perf_prod_std_00033,ZPci-N7X4
perf_prod_std_00034,Ujci-Cg6b
perf_prod_std_00035,6Rbh-aPfZ
perf_prod_std_00036,i26b-7hgV
perf_prod_std_00037,jMEb-Ba4N
perf_prod_std_00038,84W2-792c
perf_prod_std_00039,iXKc-b92G
perf_prod_std_00040,g73g-bc43
perf_prod_std_00041,D8jQ-hW2j
perf_prod_std_00042,b7d4-a8df
perf_prod_std_00043,Yj93-jeK2
perf_prod_std_00044,iYhA-c6ej
perf_prod_std_00045,BKPe-7Rh7
perf_prod_std_00046,WKD2-6cNB
perf_prod_std_00047,7A3Q-Mjb6
perf_prod_std_00048,cjfG-BZhZ
perf_prod_std_00049,2agb-CUdG
perf_prod_std_00050,XL3V-FdbL
perf_prod_std_00051,i89J-N8bg
perf_prod_std_00052,9EFQ-Z787
perf_prod_std_00053,Z8aA-j29R
perf_prod_std_00054,3W2i-2b6e
perf_prod_std_00055,4aBc-jQcZ
perf_prod_std_00056,7cdF-XhKi
perf_prod_std_00057,a2GX-2M3f
perf_prod_std_00058,bVj7-GfXb
perf_prod_std_00059,8ig2-PViR
perf_prod_std_00060,f9j8-eaH2
perf_prod_std_00061,QAQd-HDbK
perf_prod_std_00062,7Cfe-YTai
perf_prod_std_00063,RhiT-hKbA
perf_prod_std_00064,CJf3-fZgb
perf_prod_std_00065,GfQV-A6bi
perf_prod_std_00066,gj6F-6f6P
perf_prod_std_00067,YQcJ-24b8
perf_prod_std_00068,LBiM-4B7a
perf_prod_std_00069,ZhPg-fBiL
perf_prod_std_00070,9GL8-7Xj4
perf_prod_std_00071,WTQ9-ceE3
perf_prod_std_00072,2QFL-jFR4
perf_prod_std_00073,bPdW-HgUd
perf_prod_std_00074,Gf7L-Nbfh
perf_prod_std_00075,B3TK-Pgfe
perf_prod_std_00076,GbHd-FgEd
perf_prod_std_00077,JUgQ-8f8M
perf_prod_std_00078,ec82-Xbig
perf_prod_std_00079,474d-939b
perf_prod_std_00080,2G3G-4Tcg
perf_prod_std_00081,4Lif-JhEf
perf_prod_std_00082,d7Tc-Bebh
perf_prod_std_00083,fiJE-V4a3
perf_prod_std_00084,VPDA-Y7N3
perf_prod_std_00085,Z9aH-haX6
perf_prod_std_00086,Lbhg-VaNd
perf_prod_std_00087,28FG-XD9a
perf_prod_std_00088,T6ch-28aH
perf_prod_std_00089,7dEK-NYeW
perf_prod_std_00090,PiBj-Ae3d
perf_prod_std_00091,Njb4-aRg6
perf_prod_std_00092,AKba-J72L
perf_prod_std_00093,jfGN-C2H9
perf_prod_std_00094,7d29-2ga9
perf_prod_std_00095,gAeT-9BgT
perf_prod_std_00096,cDc9-Xh2i
perf_prod_std_00097,3i3f-A2Ji
perf_prod_std_00098,h6f4-9Ki6
perf_prod_std_00099,DiMK-2dJZ
perf_prod_std_00100,2dCb-Xj3K
perf_prod_std_00101,X72Y-3X3N
perf_prod_std_00102,UZ64-94ae
perf_prod_std_00103,NhfQ-j9hB
perf_prod_std_00104,jiPa-UZfJ
perf_prod_std_00105,4deh-WRc6
perf_prod_std_00106,P7bi-HJbH
perf_prod_std_00107,8G4e-dh8V
perf_prod_std_00108,f3Fi-QiR3
perf_prod_std_00109,bhiR-g83K
perf_prod_std_00110,Z8ML-fF73
perf_prod_std_00111,7hj3-VFBd
perf_prod_std_00112,jaEY-aTcH
perf_prod_std_00113,idXi-9jac
perf_prod_std_00114,PJjd-Uaeg
perf_prod_std_00115,dcah-jBN8
perf_prod_std_00116,cij6-FfKe
perf_prod_std_00117,6g68-gjC4
perf_prod_std_00118,VAEg-6X9Q
perf_prod_std_00119,TeEg-N4Cb
perf_prod_std_00120,TNWR-4aeR
perf_prod_std_00121,gceF-d32h
perf_prod_std_00122,7C3e-b67A
perf_prod_std_00123,8a4H-iMHN
perf_prod_std_00124,VZ7c-fAG8
perf_prod_std_00125,baD2-BbR8
perf_prod_std_00126,Vd72-dT92
perf_prod_std_00127,4Did-7YfB
perf_prod_std_00128,FcV7-3X7g
perf_prod_std_00129,L8H7-bhG6
perf_prod_std_00130,cWj7-di4K
perf_prod_std_00131,4N9b-Ng69
perf_prod_std_00132,7D6e-gZbF
perf_prod_std_00133,gbF8-VUf4
perf_prod_std_00134,98Q3-Hi3i
perf_prod_std_00135,64F4-iTHf
perf_prod_std_00136,ajGH-Mef8
perf_prod_std_00137,VBFH-BfLK
perf_prod_std_00138,ea4c-9aPC
perf_prod_std_00139,eYCb-hDf7
perf_prod_std_00140,bBEf-2AKV
perf_prod_std_00141,Pf2e-7chJ
perf_prod_std_00142,CcM9-jBcd
perf_prod_std_00143,i63f-H3ZQ
perf_prod_std_00144,YEd3-hU6g
perf_prod_std_00145,edEc-feH8
perf_prod_std_00146,ciQC-j9TG
perf_prod_std_00147,GWZd-gZ28
perf_prod_std_00148,6gAQ-Kfda
perf_prod_std_00149,hTgj-YMUd
perf_prod_std_00150,WFQF-bXaK
perf_prod_std_00151,YaWa-cYDh
perf_prod_std_00152,dcP8-7M7M
perf_prod_std_00153,27gX-E4Yd
perf_prod_std_00154,Md9i-GYgB
perf_prod_std_00155,c8Ch-6WdR
perf_prod_std_00156,DRjL-7hae
perf_prod_std_00157,P6ZX-8Mih
perf_prod_std_00158,WC9X-be3X
perf_prod_std_00159,i4i6-Q6iE
