teacher,classtitle,classcode,ap1,ap2,ap3,ap4,ap5
tch_20200525-210959_168,class_20200525-210959_168,gQiU-bpG7,04663a95-6092-46f7-839b-d1870b5250b2,cbda99c3-78e1-443b-b128-ae3b27eab82b,07956456-5152-437e-9435-eeb6cbb43b77,1a5526ac-4d6d-49dd-9cb6-bc01ce1b49fe,cda73efb-17b3-4b2a-bd74-eed9e9dda62b
tch_20200525-210959_169,class_20200525-210959_169,7t3i-tFsU,66ebddcb-dfcf-4316-905f-f8541096bfef,95a66bf1-8429-4142-9f82-b6919ae61575,7c21bdd8-509d-407a-87d3-40ba0ac3a914,4bf85fa2-bb98-4b5a-b44d-4f05657f42b8,203be733-3762-46cb-a140-e4eeed522b88
tch_20200525-210959_170,class_20200525-210959_170,yZ3X-984v,026c0ba3-d6eb-49b6-b5ef-220a91ab8947,4d26c22d-cb95-4bfa-b27b-29a51a2ac230,bb6500a4-f521-4158-9520-2119f72da1a0,0b6b3fd3-c57d-4839-8c18-7d62e95728a8,444b18c3-f327-49b2-b774-0998af6b2abc
tch_20200525-210959_171,class_20200525-210959_171,z7VR-gdnC,c84b8e32-8f29-46d1-95d3-5513bc564ec3,275e32a5-3cff-4929-8535-bf431dc2506a,e6c0ef6a-15ea-41bc-b003-89d202a82011,80a99b5b-cbac-429a-8aeb-04b7c7337ef2,d46386c4-3abb-4c2c-aab4-797f7dc57290
tch_20200525-210959_172,class_20200525-210959_172,cmNM-2UN7,7b02294b-e706-407a-8de2-35f4f105b3e8,873870e8-af66-462d-b755-26b6714b47f1,e58c86b6-6bab-43fd-aea6-0f4cee64609a,41ddbde3-eefe-4d7a-a241-9272ec7162a6,73141c4e-0ee8-4982-866d-32d8fe2b3922
tch_20200525-210959_173,class_20200525-210959_173,wWAo-6xX8,7df3a2d8-46f5-4f36-8c69-ad7fa01eeaa1,5cc23c54-d115-4655-880a-8663b69d1529,60a5df30-6406-4107-9202-18ddae1690d4,50ec2cb8-4643-493c-a403-f3a178e9c2b3,e883099a-c88b-40b1-a94b-d079bbaa918f
tch_20200525-210959_174,class_20200525-210959_174,nUtB-fjfk,ee8f5bce-5176-4f08-86cd-3a6b4bfd7180,4a5889a5-44b1-4af6-b960-476ca6fbd7d9,9306303b-dd82-4db8-a0d1-8005d40bfa5a,835a5d73-eaea-4db1-a532-dcf504d03903,383fa6cf-3edf-4cbf-baed-4da94393371d
tch_20200525-210959_176,class_20200525-210959_176,zf8r-dqzd,f6620658-58be-4e96-bbb9-4f8662b4a1d7,434fa22c-c26e-4139-9c56-833ce629d19d,ca896b5a-ec59-44f4-b792-c928536377e1,ff9c1cc0-8e19-4f34-aa1e-b8f7d222ff09,43d72827-141d-4f97-9adf-7894741f7577
tch_20200525-210959_177,class_20200525-210959_177,DYUy-MpMy,26c05ef2-4cd8-4a68-81c9-8d85163d453e,deeb1254-c0f8-49cf-a868-1020994efb93,224ecfea-2c80-4b0c-89c8-bdb584cb6d00,0f0a16c7-44dd-4dfe-bed7-7f7ca9345e7a,11589e16-66fa-4880-85dd-09d0e17a1c0e
tch_20200525-210959_175,class_20200525-210959_175,D2FD-f7os,af159904-2d11-4e44-9908-a4866af3c7ff,391227e8-bc8a-4a88-a1d7-291c533ce560,d22671e9-a7a2-4938-8e20-6bfb5b0b6058,1bdeecca-7673-4035-b761-ebb15715c5cd,897d5206-8177-442d-b08e-32618a1d68b7
tch_20200525-210959_178,class_20200525-210959_178,b9mU-Yd6W,a5955a73-f2dd-42be-9854-b9c407176bcc,4355c820-6d5b-4053-887e-cadd292da984,32b88e56-ebb2-4724-ae51-4ad223fa24b4,054fa3de-cdf1-498c-a0e3-f0ee3452fd98,f307de63-75a2-4914-a27c-b8456a01f32d
tch_20200525-210959_179,class_20200525-210959_179,exdq-D7Qb,359c167b-0f5e-492e-9f70-276c3d2937c9,d32258e0-e5cb-4612-8424-1ec6946099bf,37aec040-4371-47e1-bf14-b560ddc593d4,96aff59c-baec-42e3-8223-199ec61568f0,76edd3b2-0464-4b9e-892a-4f09e0e0ea1d
tch_20200525-210959_180,class_20200525-210959_180,6btN-AapW,b752855c-5898-49ba-847f-4cacfd3a3aa6,2a030c1c-599b-4798-9c53-3a8d9bbf9bc4,c995f2f2-f6b1-4b29-992a-287a8fdf4deb,062906dc-bb64-4c8c-b440-1d3834014e47,a09d4996-d32f-478a-88db-0d9406177b8b
tch_20200525-210959_181,class_20200525-210959_181,qLuc-R4HG,274ef4ba-4b98-415c-b50f-70246f988fbb,e79cd4df-c243-4214-a2e1-0085f4ac23e0,578083fc-8fdf-44da-9e51-289af31ced08,1c06617a-b091-4e9e-9309-bb618a6769d4,aaac451f-8003-44ca-accf-aa0dee8f1053
tch_20200525-210959_182,class_20200525-210959_182,BV64-2QsV,946692ff-4e79-44ba-b796-de3ba2668b4d,0bf3d3b7-48b9-4319-b780-b699f59856d1,cc5d5c05-8007-418d-a952-a23b7a3be710,61ae1661-340b-4de0-aeb0-85db35ca7c77,ff053cc9-ef36-4bdc-9be3-0bcdcaa42945
tch_20200525-210959_183,class_20200525-210959_183,TEcf-69r3,192aedaf-fe71-44b4-aac3-d59169be436d,f732419a-590c-4781-8d94-f55b06a27857,03462435-4ac0-42c8-a1bb-13ca0c1f4c3b,88623a22-acc0-458a-abfd-4036d4a88a25,dd6acb90-24e7-4c59-bfb3-068e32ecefec
tch_20200525-210959_184,class_20200525-210959_184,L8yY-B8eC,59feab7e-5d05-4617-94c7-f3447ce2978f,65420909-087b-4aae-9b76-fbf559939771,3ed2ec29-541f-415d-b531-1e691f3360f2,5e4c5776-7d16-4c81-8810-345c0a466ca8,48e8364d-ed59-4b89-8d9c-e63da6dbcfc8
tch_20200525-210959_185,class_20200525-210959_185,tgs4-7HkH,da315c8e-e2bf-4554-97e5-dbafacd35d05,d093dc81-f013-4735-887d-023ab8cffc89,19df6d1a-8d8f-4663-8642-cf3b8cbb3694,1429085e-a2a4-4a0e-be1c-e02f3b59dd34,367b77b8-a64a-4bae-ae4e-07f5db113a37
tch_20200525-210959_186,class_20200525-210959_186,kz3Y-QcyD,bde242f5-6726-4d28-b783-a5adad57dabc,5c2e5a4c-a1cb-4108-aac0-9430856de82b,0384278e-792a-4578-bb29-6b6050fdfd6e,6798996c-7601-4979-b669-5b6ce763a637,6c7bfe3a-9fc6-4cef-bb7b-fdf6619cb86a
tch_20200525-210959_187,class_20200525-210959_187,32yo-7c7c,16ae90e8-b70f-4e70-8e09-31e937e2e880,db258d36-d86a-4540-a8f8-a95f520428a0,ffeaf4e6-6785-413c-8555-7898cac9b392,5e356c01-dc0f-40ba-a010-4f2422fbf856,ffcc0bd2-5a5a-4484-ac3c-dc3138babc45
