studentextuserid,classcode
std_1590566745932_123,C3En-YHAH
std_1590566746941_124,Lfqh-pk6P
std_1590566747950_125,r4v4-MWL6
std_1590566748958_126,cH8U-7QFx
std_1590566749967_127,nf2w-jC9k
std_1590566750977_128,qo28-2Y2v
std_1590566751985_129,UiWx-ZPAp
std_1590566752994_130,FVw4-o7F9
std_1590566754004_131,uAZy-49e8
std_1590566755012_132,74Ub-6PyN
std_1590566756023_133,Ytg2-efPD
std_1590566757032_134,AztL-QRLG
std_1590566758038_135,7Gi7-xHNL
std_1590566759045_136,PiJ8-RnYR
std_1590566760054_137,428m-QC6H
std_1590566761061_138,AZ39-gsUu
std_1590566762069_139,9n3J-n48i
std_1590566763077_140,uZ29-L3Xn
std_1590566764086_141,9qT6-egxd
std_1590566765093_142,UyWB-9h26
std_1590566766102_143,C9L3-hqM3
std_1590566767111_144,7f9r-4dAN
std_1590566768119_145,PAx3-74K3
std_1590566769129_146,XJcn-8QT9
std_1590566770137_147,2wC9-r2Q7
std_1590566771145_148,TLNb-K6bH
std_1590566772155_149,4w37-mah8
std_1590566773162_150,qk6b-gm4H
std_1590566774170_151,4oNJ-q8hw
std_1590566775179_152,bk9N-B3PZ
std_1590566776188_153,62W4-H2dw
std_1590566777195_154,XP89-8EXA
std_1590566778204_155,3ZYM-TKhz
std_1590566779213_156,W279-trxh
std_1590566780220_157,7x7r-iu2i
std_1590566781228_158,4bXN-76T6
std_1590566782237_159,eBZy-NW4X
std_1590566783245_160,yChr-BDPx
std_1590566784252_161,8P4f-nPwf
std_1590566785261_162,QTcB-H8PT
std_1590566786268_163,jtCh-Wnab
std_1590566787278_164,9D4C-W427
std_1590566788286_165,2Rt6-8pPn
std_1590566789293_166,B3Mp-WJiz
std_1590566790303_167,RK2E-dtFs
std_1590566791311_168,msZ6-Gdak
std_1590566792319_169,Ehmv-Y3xb
std_1590566793329_170,tdU6-8yr8
std_1590566794338_171,3Gc2-XgT7
std_1590566795350_172,DbCa-B8vy
std_1590566796359_173,j49g-pKx9
std_1590566797371_174,Xyvt-XF3x
std_1590566798378_175,2U9Q-3inY
std_1590566799388_176,ETC9-3p9b
std_1590566800417_177,MBEm-zhFp
std_1590566801426_178,2Pk9-4Woa
std_1590566802433_179,R9yi-2zmH
std_1590566803441_180,9vJz-thJP
std_1590566804450_181,cmsv-pU9L
std_1590566805458_182,p98N-tG3L
std_1590566806466_183,VmzJ-72h6
std_1590566807474_184,KQmP-JYw6
std_1590566808483_185,9AB4-NbRD
std_1590566809491_186,wPXJ-tmxj
std_1590566810499_187,yv73-xJzm
std_1590566811508_188,fm8K-BA27
std_1590566812515_189,238p-2EPV
std_1590566813524_190,Nc3x-VBV4
std_1590566814532_191,FWCx-vP28
std_1590566815540_192,w74B-8bp3
std_1590566816550_193,2aQi-U7Dk
std_1590566817559_194,Yc28-62Du
std_1590566818567_195,xU8H-QTZo
std_1590566819575_196,G4Nv-axR7
std_1590566820583_197,n97m-jFgW
std_1590566821591_198,YTh9-8UYb
std_1590566822599_199,3ULW-9k7k
std_1590566823608_200,BjAQ-j3fA
std_1590566824616_201,2T92-t2No
std_1590566825624_202,yEWn-W4wE
std_1590566826633_203,G3f4-m2Uh
std_1590566827641_204,HufJ-bQZ8
std_1590566828649_205,d8Wk-HcD8
std_1590566829657_206,Yerj-94uY
std_1590566830665_207,hEqh-Mrc7
std_1590566831674_208,Q8bN-genD
std_1590566832682_209,7G7H-3dsd
std_1590566833690_210,9ZWB-Hm9V
std_1590566834700_211,Wk23-J9Jk
std_1590566835708_212,3d68-6UX4
std_1590566836715_213,9ZC9-4T7X
std_1590566837724_214,Rr2B-k2v8
std_1590566838732_215,3ARV-axB9
std_1590566839741_216,h9P6-9mrx
std_1590566840749_217,j2Ld-t42M
std_1590566841757_218,V7EH-9TJn
std_1590566842768_219,8FeF-gQjK
std_1590566843777_220,2dnL-UWQg
std_1590566844787_221,C4ex-MB7E
std_1590566845796_222,yrFT-8EsA
std_1590566846805_223,iJ3w-76Rt
std_1590566847814_224,fH8p-bo2C
std_1590566848822_225,Rm2y-9rdY
std_1590566849832_226,w98X-JziZ
std_1590566850841_227,YkQM-zpfV
std_1590566851851_228,G3Kt-6ua4
std_1590566852860_229,k3Xs-ytd7
std_1590566853871_230,v6Hn-7opv
std_1590566854878_231,3xf4-j8HC
std_1590566855888_232,Dq76-nz8K
std_1590566856896_233,Nvce-PDfM
std_1590566857904_234,U89X-bg7y
std_1590566858914_235,oTDi-HT3N
std_1590566859921_236,XQWp-o89c
std_1590566860931_237,U32f-U7fb
std_1590566861939_238,gha3-w7X8
std_1590566862947_239,fskq-z4B7
std_1590566863955_240,67tx-BuJQ
std_1590566864963_241,ky8h-3L9w
std_1590566865972_242,Z2Lc-gAuC
std_1590566866981_243,J6J6-tLUy
std_1590566867990_244,VNf8-J4Ks
std_1590566868997_245,9XEV-64Kp
std_1590566870006_246,Q7dQ-btFx
std_1590566871016_247,kC3T-sh9y
std_1590566872022_248,4Czs-t2Ft
std_1590566873031_249,7Agz-93wd
std_1590566874039_250,nW4r-nxJN
std_1590566875047_251,g4TU-JHgR
std_1590566876056_252,YT28-ptqN
std_1590566877064_253,qmj4-PtV8
std_1590566878073_254,uvmv-4bjX
std_1590566879081_255,C3En-YHAH
std_1590566880090_256,Lfqh-pk6P
std_1590566881099_257,r4v4-MWL6
std_1590566882107_258,cH8U-7QFx
std_1590566883116_259,nf2w-jC9k
std_1590566884124_260,qo28-2Y2v
std_1590566885132_261,UiWx-ZPAp
std_1590566886141_262,FVw4-o7F9
std_1590566887149_263,uAZy-49e8
std_1590566888159_264,74Ub-6PyN
std_1590566889170_265,Ytg2-efPD
std_1590566890179_266,AztL-QRLG
std_1590566891190_267,7Gi7-xHNL
std_1590566892199_268,PiJ8-RnYR
std_1590566893210_269,428m-QC6H
std_1590566894219_270,AZ39-gsUu
std_1590566895231_271,9n3J-n48i
std_1590566896245_272,uZ29-L3Xn
std_1590566897251_273,9qT6-egxd
std_1590566898261_274,UyWB-9h26
std_1590566899271_275,C9L3-hqM3
std_1590566900281_276,7f9r-4dAN
std_1590566901290_277,PAx3-74K3
std_1590566902301_278,XJcn-8QT9
std_1590566903310_279,2wC9-r2Q7
std_1590566904322_280,TLNb-K6bH
std_1590566905334_281,4w37-mah8
std_1590566906346_282,qk6b-gm4H
std_1590566907357_283,4oNJ-q8hw
std_1590566908370_284,bk9N-B3PZ
std_1590566909379_285,62W4-H2dw
std_1590566910392_286,XP89-8EXA
std_1590566911415_287,3ZYM-TKhz
std_1590566912410_288,W279-trxh
std_1590566913420_289,7x7r-iu2i
std_1590566914430_290,4bXN-76T6
std_1590566915441_291,eBZy-NW4X
std_1590566916451_292,yChr-BDPx
std_1590566917459_293,8P4f-nPwf
std_1590566918471_294,QTcB-H8PT
std_1590566919481_295,jtCh-Wnab
std_1590566920489_296,9D4C-W427
std_1590566921498_297,2Rt6-8pPn
std_1590566922509_298,B3Mp-WJiz
std_1590566923518_299,RK2E-dtFs
std_1590566924530_300,msZ6-Gdak
std_1590566925540_301,Ehmv-Y3xb
std_1590566926550_302,tdU6-8yr8
std_1590566927558_303,3Gc2-XgT7
std_1590566928569_304,DbCa-B8vy
std_1590566929577_305,j49g-pKx9
std_1590566930587_306,Xyvt-XF3x
std_1590566931594_307,2U9Q-3inY
std_1590566932603_308,ETC9-3p9b
std_1590566933611_309,MBEm-zhFp
std_1590566934619_310,2Pk9-4Woa
std_1590566935627_311,R9yi-2zmH
