a,b,c,d,e,f,g,h
tch_20200510-225539_18,class_20200510-225539_18,fu2e-Vu6f,6eda67c8-16c7-4c4c-b385-bd42fa9fdb7c,ffecd29d-0285-4c7c-8efe-e67d474e9b56,3ce8b721-833d-4c27-87d7-0b54384a17c9,01c27988-15f0-4e28-b31f-859ed24198da,6661e761-bd9f-4402-800e-ff29193f519e
tch_20200510-225539_29,class_20200510-225539_29,CRtc-9eVq,e61aab1d-e19a-4cb4-b344-d7edd3049cb2,7e61c934-370b-46fa-a23f-fbc88898563b,9a051a7f-8a81-44f2-83fd-98a98f30b74d,c6ee674d-ec84-49e5-a141-677e8d18b68d,090f3209-535a-48ad-bb37-0877322eee4f
tch_20200510-225539_34,class_20200510-225539_34,Es7i-mpUy,e0705d56-1dc3-4ab3-9e8e-0344add62b1d,91f6cda9-076e-45ff-ba74-08d640ec739c,13397e6d-5c4b-416f-bdf1-ae3e1444dbee,ceb30bd1-bd62-4c82-af36-757a8a208173,eccd3afd-824d-46f5-b8bb-c39fddb0365c
tch_20200510-225539_44,class_20200510-225539_44,e6Q8-H6B3,6c86479b-ec41-4ed2-9ebf-5aa6cee4b67a,e7eb885a-ca45-4167-b879-39b6d0a3c11c,03c3f6c6-e438-4622-aa51-a72cf0a4a7dd,b133c0ac-7e74-4b28-9951-009a233b637b,6d9291ed-4455-4f0c-b33d-2ce297d63ce6
tch_20200510-225539_68,class_20200510-225539_68,e4h3-LmUa,3b8de3d7-f778-4d35-bc20-ca2ec78868ef,a1c77b8b-b44b-4bb9-918b-dec92421aca8,20631013-c975-4c21-86dc-44ca12ceb03e,f3c1c7cb-c13e-4329-a0b0-97e2dd4ff728,f46c48eb-27ad-4392-8743-557da85a043e
tch_20200510-225539_71,class_20200510-225539_71,C8GY-A4iU,359728f3-bfe1-4239-8137-15dc05f33457,54ed8700-db92-489e-baf0-e347d1091f78,41fdd5e9-9bb8-4d41-ab8c-83e78c5a1433,8a98f5b8-0cfe-466e-bd97-c831397ff5b4,ef1025d3-bf53-4c31-8208-b21187d8b81e
tch_20200510-225539_74,class_20200510-225539_74,FHg3-kx7q,19f9ddf5-5b73-4fc1-822c-71b7f9c61de4,baac6562-96f6-4bcc-933b-a725a3f3f666,2c13c3c2-252c-4af0-b4c4-6e2406398ce7,e5404607-4342-4baf-9e72-b4306383f177,3f0c3974-e0df-4193-8952-eee3c3370687
tch_20200510-225539_82,class_20200510-225539_82,GEJy-ZEZG,1fb5a856-3ba9-476b-9cf8-c33f0f262df0,334fa82b-4622-47f7-8863-4757c8dac5ff,b040d7c8-32f9-4a7f-b3dd-9f242fd8921c,c8e8a1f3-8e30-4a66-95b8-79169ddc8260,af4fc624-72b0-4afb-a2d5-b6ae4fb94742
tch_20200510-225539_84,class_20200510-225539_84,Ct79-t7c4,f9b1d5ac-8260-4891-9639-f82a44af9af9,2eb3be7f-a72a-4986-819f-972c87837cf2,b74e0a57-0e1f-4f84-bead-304e98fce3c3,5a20e749-e51b-4293-a135-7a3cadaaf8a5,cd5a85aa-9bd7-4d56-bf2f-a06acd0f87de
tch_20200510-225539_85,class_20200510-225539_85,dwkR-K43T,46893d71-01f1-43fe-855b-0af6c263df20,20a8f634-d3e8-478e-8f2b-7321d4f0aee0,bd869315-4393-48db-81bf-82bbdcf9394d,bb0a1c55-1c4d-4a79-98d5-e844def70399,70ac7589-f8ce-4b5e-8a11-01ce1ba5b9d2
tch_20200510-225539_118,class_20200510-225539_118,FUf8-6Tbd,766439a7-954f-4881-a863-9aada9f17514,5329bcef-901e-4963-a713-3951060ac961,18b6c7b6-6ba6-4574-b5ee-641167d9eb41,2234aee9-decf-43af-948a-0bb05867b515,d6b2b9ba-dc9f-46ff-bf68-a52795334314
tch_20200510-225539_134,class_20200510-225539_134,FBcr-Wtst,a34513dd-9c87-46e5-940a-05c9f1725f90,7d4bf4a6-ea58-45c3-a536-a11c58149838,3a868667-96bc-4120-81a9-ad745026b7b0,f27eb41f-30ff-499f-87a0-f697d4e8e75e,026094fd-d934-4242-affd-59c3d2f7ad99
